parcel_name,sws_rw,sws_rs,sws_gb,sws_ms,sws_fa,sws_total
zDCwei_17Networks_RH_DefaultC_PHC_1,NA,NA,NA,NA,0.040711541242829,0.048553968933562
zDCwei_17Networks_RH_DefaultB_PFCv_1,0.044545391822836,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DefaultA_PFCm_1,NA,NA,NA,NA,0.044951770148589,NA
zDCwei_17Networks_RH_ContA_PFCl_2,NA,0.048016500924595,NA,NA,NA,NA
zDCwei_17Networks_RH_SalVentAttnA_ParMed_1,NA,NA,NA,NA,0.044951770148589,0.03513897097848
zDCwei_17Networks_RH_SomMotB_S2_1,0.045591921354199,0.029304277452967,NA,0.047032763692701,NA,0.032354885656298
zDCwei_17Networks_RH_SomMotA_2,NA,0.033566368390267,NA,NA,NA,NA
zDCwei_17Networks_LH_TempPar_1,0.044545391822836,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DefaultB_Temp_2,0.044545391822836,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_LimbicA_TempPole_2,0.046658486004926,NA,NA,NA,0.044951770148589,NA
zDCwei_17Networks_LH_SalVentAttnB_PFCmp_1,0.046658486004926,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_SalVentAttnA_FrMed_1,0.046658486004926,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_SalVentAttnA_ParMed_1,0.044545391822836,0.046232812283862,NA,0.047032763692701,0.044951770148589,0.029384230379212
zDCwei_17Networks_LH_DorsAttnB_PostC_1,0.046658486004926,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnA_ParOcc_1,0.048931472825657,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnA_TempOcc_1,0.046658486004926,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_SomMotB_Aud_1,0.044545391822836,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_VisPeri_ExStrInf_1,0.048931472825657,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_TempPar_2,NA,NA,NA,0.047032763692701,0.044951770148589,0.039659445658202
zDCbin_17Networks_RH_DefaultC_PHC_1,NA,NA,NA,NA,0.037945484605767,0.044047746906159
zDCbin_17Networks_RH_DefaultB_PFCv_1,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_DefaultA_PFCm_1,NA,NA,NA,NA,0.044951770148589,NA
zDCbin_17Networks_RH_ContA_PFCl_2,NA,0.04960874504897,NA,NA,NA,NA
zDCbin_17Networks_RH_SalVentAttnB_PFCl_1,NA,0.048016500924595,NA,NA,NA,NA
zDCbin_17Networks_RH_SalVentAttnB_IPL_1,NA,0.045854578624219,NA,NA,NA,NA
zDCbin_17Networks_RH_SalVentAttnA_ParMed_1,NA,0.048016500924595,NA,0.048239727692219,0.044951770148589,0.032267921506867
zDCbin_17Networks_RH_SalVentAttnA_ParOper_1,NA,0.048257233087452,NA,NA,NA,NA
zDCbin_17Networks_RH_DorsAttnB_PostC_2,0.048931472825657,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_DorsAttnA_SPL_1,0.048931472825657,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_SomMotB_S2_2,NA,0.04960874504897,NA,NA,NA,NA
zDCbin_17Networks_RH_SomMotB_S2_1,0.044545391822836,0.019790365092621,NA,0.047032763692701,NA,0.030415549987621
zDCbin_17Networks_RH_SomMotA_4,NA,NA,NA,0.047032763692701,NA,NA
zDCbin_17Networks_RH_SomMotA_2,NA,0.03980267368667,NA,NA,NA,NA
zDCbin_17Networks_LH_TempPar_1,0.044545391822836,NA,NA,0.047032763692701,NA,NA
zDCbin_17Networks_LH_DefaultB_Temp_2,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_ContA_PFCl_1,NA,0.048016500924595,NA,NA,NA,NA
zDCbin_17Networks_LH_LimbicA_TempPole_2,0.046825226393808,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SalVentAttnB_PFCmp_1,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,0.044545391822836,0.036143435093475,NA,0.047032763692701,0.044951770148589,0.029384230379212
zDCbin_17Networks_LH_DorsAttnB_PostC_1,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnA_ParOcc_1,0.046658486004926,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnA_TempOcc_1,0.045591921354199,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotB_S2_2,0.048931472825657,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotB_Aud_1,0.044545391822836,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotA_2,NA,NA,NA,0.047032763692701,NA,NA
zDCbin_17Networks_LH_VisPeri_ExStrInf_1,0.048931472825657,NA,NA,NA,NA,NA
zReHo_17Networks_RH_DefaultA_PFCm_1,NA,NA,NA,NA,NA,0.048553968933562
zReHo_17Networks_RH_ContA_IPS_1,NA,0.019914833567413,NA,NA,NA,NA
zReHo_17Networks_RH_SalVentAttnA_FrMed_1,NA,0.031674725866854,NA,NA,NA,NA
zReHo_17Networks_RH_SalVentAttnA_ParMed_1,NA,0.034902134698867,NA,NA,NA,NA
zReHo_17Networks_RH_DorsAttnB_FEF_1,NA,0.048514209510504,NA,NA,NA,NA
zReHo_17Networks_RH_DorsAttnB_PostC_1,NA,0.005162344291983,NA,NA,NA,0.03513897097848
zReHo_17Networks_RH_DorsAttnA_ParOcc_1,NA,0.048016500924595,NA,NA,NA,NA
zReHo_17Networks_RH_SomMotB_Cent_1,NA,0.047644368403622,NA,NA,NA,NA
zReHo_17Networks_RH_SomMotB_S2_1,NA,0.01948899727203,NA,NA,NA,NA
zReHo_17Networks_RH_SomMotA_3,NA,0.045854578624219,NA,NA,NA,NA
zReHo_17Networks_RH_VisPeri_ExStrSup_1,0.046658486004926,0.045769375759207,NA,NA,NA,NA
zReHo_17Networks_RH_VisPeri_StriCal_1,0.046825226393808,NA,NA,NA,NA,NA
zReHo_17Networks_RH_VisCent_ExStr_3,NA,0.020835538218103,NA,NA,NA,NA
zReHo_17Networks_LH_DefaultC_Rsp_1,0.046658486004926,NA,NA,NA,NA,NA
zReHo_17Networks_LH_ContC_pCun_1,0.044545391822836,0.045769375759207,0.042275582848737,NA,NA,0.04548868922342
zReHo_17Networks_LH_ContA_IPS_1,0.048931472825657,NA,NA,NA,NA,NA
zReHo_17Networks_LH_LimbicA_TempPole_2,0.044545391822836,NA,NA,0.047032763692701,NA,NA
zReHo_17Networks_LH_SalVentAttnA_Ins_1,NA,0.033324721362138,NA,NA,NA,0.048553968933562
zReHo_17Networks_LH_DorsAttnA_TempOcc_1,NA,NA,0.048912227078207,NA,NA,NA
zReHo_17Networks_LH_SomMotB_S2_1,NA,0.048016500924595,NA,NA,NA,NA
zReHo_17Networks_LH_SomMotB_Aud_1,NA,0.01948899727203,NA,NA,NA,NA
zfALFF_17Networks_RH_TempPar_2,NA,0.033468280388483,NA,NA,NA,NA
zfALFF_17Networks_RH_TempPar_1,NA,NA,0.041823948177214,NA,NA,NA
zfALFF_17Networks_RH_DefaultB_PFCv_2,NA,0.01948899727203,NA,NA,NA,NA
