bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0616_ses-wave3_T1w	0.33913375636705295	3.8645800377650223	0.5215810219999042	6417.576171875	3.875971584651369	3.8102112120472382	3.9242722438575637	3.893431298049305	0.17585403279681863	0.47104989101732675	0.3530960761858546	1.2520315647125244	0.3224495887756347	0.0	0.015404957717666179	26.36719208090991	11.506565432569221	17.38797388005078	176	288	288	2.7761214532831584	13.170295310404518	12.071767391726999	20.268885411493315	33.49166675975331	67.39413955433253	65.04284028818516	94.24271455046966	0.8999999761581421	0.8819444179534912	0.8819444179534912	30.621302867020198	6.9516632475685665	6.874932765960693	4.688825607299805	4437526.0	0.0	18.883934020996094	7.213258266448975	3.905690598097146	151.03720530280017	364.67083740234375	355.3806457519531	15547.0	183.79051208496094	567.3117126464842	128.00924682617188	0.11218634412458739	52.94090733751496	716.3585815429688	715.120361328125	55918.0	628.047119140625	807.6846313476561	54.297489166259766	0.9968086964883449	43.675141171574296	997.7659912109375	1000.0110473632812	271563.0	911.3935241699219	1073.9453979492187	49.337158203125	0.1467505544424057	0.4446721076965332	0.47207367420196533	0.38396219147620797
sub-0642_ses-wave1_T1w	0.3526997562168584	3.652508594727206	0.6683246167355422	1005.663818359375	3.6599860496381544	3.7977223228275063	3.7581245217391306	3.4241113043478264	0.14869833725436676	0.4614668445348189	0.38983481821081434	1.3539907932281494	0.6283987164497375	0.0	0.03702374501934498	20.72500670329802	7.742431177564041	10.14840231336573	176	232	256	3.106899814727484	13.983003866272737	11.898739446199317	18.60631465759773	19.62310386674935	37.609753962573606	36.37337841972689	51.88727742985771	0.8999999761581421	0.8984375	0.8984375	1.9746657364776388	12.62627001896286	13.431868553161621	8.606688499450684	2458273.0	0.0	34.1906852722168	9.995657920837402	3.5741417668476814	114.71964957319025	396.8773498535156	378.1908874511719	24458.0	234.7949333190918	609.1499206542965	121.72364044189453	0.8703023003107324	47.24799172047912	725.7377319335938	724.8428344726562	55947.0	642.78076171875	812.4268493652344	51.83695602416992	0.6404778833471396	49.80331781589358	997.7679443359375	1000.009765625	322378.0	904.8364807128906	1081.5618041992186	53.745635986328125	0.1541191190481186	0.44637972116470337	0.49291497468948364	0.6182820137077256
sub-0642_ses-wave2_T1w	0.38887673546057266	3.2341743956533837	0.6822810786118007	863.1197509765625	3.703244864588466	3.8130667676784404	3.810393043478261	3.486274782608696	0.14869276339590207	0.46044073700100363	0.39086649960309433	1.3611323833465576	0.6013707399368284	0.0	0.041029158444406584	20.368457602411084	7.689141315457223	10.080161541081619	176	232	256	2.9103741100872984	12.375852544414974	11.570172033947202	19.42428944733933	19.698260001039454	38.43082272162836	36.64242861966482	51.79820313632665	0.8999999761581421	0.8984375	0.8984375	1.8998196566802141	12.64813628646201	15.322029113769531	17.177705764770508	2454129.0	0.0	34.70101089477539	11.076611518859863	9.242097641093304	124.25154935269445	404.3703918457031	380.29681396484375	22158.0	237.77177810668945	626.469607543945	130.66644287109375	1.7360977074419761	52.205080925174975	745.9230346679688	741.9497680664062	60663.0	656.8750122070312	849.1262145996093	59.95091247558594	0.5933523064920299	48.15317177368417	998.6978759765625	1000.0219116210938	337572.0	911.6345001220702	1080.5027709960937	51.48298645019531	0.15898114442825317	0.4552769958972931	0.5005146265029907	0.6015285479359332
sub-0647_ses-wave1_T1w	0.37181758277003735	3.0320636944560895	0.6660342551050721	549.4755859375	3.5098240321423577	3.6400000964270722	3.511329391304348	3.378142608695652	0.15969262813955434	0.4911065546173653	0.34920081724308033	1.4149773120880127	0.6770558059215546	0.0	0.025808387067658013	20.895517784314162	7.636464264775865	11.206944019245759	176	232	256	2.5887792237503198	10.1382077270157	9.96357048522643	17.163724504913272	18.351066033850916	31.567077055138892	31.27166056040735	43.896838592232235	0.8999999761581421	0.8984375	0.8984375	1.6666838104448916	14.924809923667764	19.585285186767578	20.20083999633789	2288685.0	0.0	40.731075286865234	12.484107971191406	16.920586426065707	126.05129940599666	439.0870361328125	418.0597839355469	27614.0	253.620125579834	655.5842926025389	161.48623657226562	2.8769380653228156	54.645031176559	726.7425537109375	719.13671875	65534.0	627.8599060058593	860.6525238037109	70.93277740478516	2.90405623262167	49.79372578493889	996.4049682617188	1000.0238037109375	242718.0	892.4747589111328	1081.1710388183594	58.26367950439453	0.11234978586435318	0.40291228890419006	0.4486173987388611	0.6335258451729279
sub-0647_ses-wave2_T1w	0.36829471969825955	3.1421898710976275	0.6514185846574044	559.7935791015625	3.522004521674093	3.639855651978801	3.5733704347826083	3.3527874782608698	0.15225714720178682	0.49524216815158556	0.3525006846466276	1.379486322402954	0.70505633354187	0.0	0.025977177635644565	21.689167367395005	7.529642126841995	10.997731442904605	176	232	256	1.2922772409103236	10.654666750238178	9.865955975023965	17.650923933923394	18.12091706491913	31.133162679091168	30.835302124267624	43.25182662879257	0.8999999761581421	0.8984375	0.8984375	1.0590429678921618	15.147199690875743	21.632856369018555	20.472572326660156	3153323.0	0.0	42.35563354492187	13.323068618774414	7.964735966395793	144.78170802118615	505.9396667480469	418.96795654296875	24295.0	248.70563659667968	1449.1335327148436	324.2023620605469	3.112737811431346	53.05352321037447	725.465087890625	719.8199462890625	70922.0	628.7333892822265	844.2032928466797	67.55864715576172	1.2174772647980454	50.13962708988504	997.1591186523438	1000.01171875	248578.0	897.5514373779297	1084.1369995117188	56.654808044433594	0.11110370606184006	0.40171921253204346	0.45161473751068115	0.6120806030519522
sub-0647_ses-wave3_T1w	0.3005431394192649	4.23473784890399	0.5718004709156985	3127.978271484375	3.718308418630358	3.8218667679115605	3.6600832595441704	3.672975228435343	0.14232922780183493	0.5053196981822178	0.35235107401594723	1.1462162733078003	0.2808738648891449	0.0	0.014708229685039109	33.601895921198604	11.18824082784572	16.990640409118324	176	288	288	0.7349045485099887	12.06402621582703	10.291942055123565	18.07689540103368	39.659400395504186	66.09296300752901	68.2798508309741	99.08718908988908	0.8999999761581421	0.8819444179534912	0.8819444179534912	216.62312332236974	6.611793723880188	7.410431861877441	4.459587097167969	3459694.0	0.0	22.36193981170654	8.105463981628418	0.18622921063782893	192.71722665851405	654.4537353515625	400.252197265625	11924.0	198.41385192871093	1740.3879699707031	544.6087036132812	0.7742751982156109	52.1699704722465	668.0379638671875	667.0260620117188	92581.0	579.15234375	759.5271606445312	55.29020309448242	1.1452840684501124	47.906584185462265	996.7703857421875	1000.01171875	248988.0	896.7014556884766	1080.5307189941407	55.31977081298828	0.13178499042987823	0.44528433680534363	0.4767475128173828	0.36951404445446834
sub-0718_ses-wave1_T1w	0.337103297419763	3.6767773460146875	0.6545204825436318	882.7794189453125	3.8507640612420713	4.017655661987083	3.895941565217391	3.6386949565217392	0.15700617245269843	0.4599405463044603	0.38305328124284127	1.4390201568603516	0.6419258713722229	0.0	0.034774680228757154	19.41338291636803	7.661432059620576	10.320855433326374	176	232	256	3.1203932000331585	12.69640624120394	11.7192851732285	19.3410560784484	20.856442860244666	39.54143345871265	38.56754516422196	55.30475917370856	0.8999999761581421	0.8984375	0.8984375	3.0988388423985365	11.846090360895047	19.675851821899414	15.9878511428833	3040407.0	0.0	40.3011734008789	12.850022315979004	0.6118021039730404	124.10907149667412	398.0950927734375	377.12347412109375	21852.0	230.31050033569335	606.2812438964844	120.85491180419922	1.7092195440651627	48.97881036265177	717.3167724609375	714.9830322265625	59577.0	630.6247192382813	812.0204345703124	56.31333923339844	0.9142837753672794	47.10587582789105	997.9542236328125	1000.013427734375	333354.0	909.4695098876954	1078.0773071289063	51.7041015625	0.15323249995708466	0.4605575203895569	0.4957081079483032	0.6108891048980202
sub-0718_ses-wave2_T1w	0.3359029935746986	3.7750302176305732	0.6742204549027064	572.3419799804688	3.7827576773588674	3.946266771207035	3.8150678260869566	3.586938434782609	0.1390023973685877	0.47087350221337093	0.39012410041804135	1.4281196594238281	0.5749036788940429	0.0	0.013556626060165571	21.687025712503818	7.547368568475894	9.952295144523376	176	232	256	2.8445916714440957	13.738605608565805	12.12066212617792	19.778789098523863	22.765470553462546	41.173578906763844	40.380334689067574	57.20195460697633	0.8999999761581421	0.8984375	0.8984375	7.0636415844893925	11.453251518567562	21.274246215820312	15.449813842773438	2791814.0	7.660392761230469	46.29448833465577	14.437596321105957	28.599141115898657	120.08605155161996	421.5989990234375	397.9914245605469	25354.0	249.34662857055667	636.6189361572265	139.9088592529297	1.2076084239366756	47.32260143295214	721.889404296875	719.806396484375	84172.0	640.4977966308593	810.1616760253905	52.392662048339844	0.7291367253143899	46.801419335937794	998.833251953125	1000.018310546875	351152.0	913.8117004394531	1078.9077087402343	50.56006622314453	0.14318153262138367	0.45894309878349304	0.49494484066963196	0.6010697959846392
sub-0718_ses-wave3_T1w	0.3627440308018079	3.582774524956966	0.5262281539878626	6710.98095703125	4.1585894986881335	4.273233446535361	4.08549555578684	4.117039493742199	0.15900107709175412	0.46484455951899767	0.3761543633892482	1.2621393203735352	0.4095452010631562	2.165455941784487e-05	0.015441248205896445	28.400508169015954	11.494944643080638	15.885379150987607	208	288	288	3.353174407471	14.029488691004161	11.770848429891714	17.92988219119998	35.64750305153517	66.7039258798962	64.79562459264913	92.03544484651601	0.8999999761581421	0.8819444179534912	0.8819444179534912	14.745447575666198	7.1183954813891175	8.834029197692871	4.8012847900390625	5629479.0	0.0	29.01011314392089	11.060148239135742	6.6445872594508835	118.40022948861919	399.6947021484375	387.32855224609375	23679.0	235.77618865966798	591.2189514160156	115.5085678100586	0.28920898856605026	49.335434834278395	726.5278930664062	724.7726440429688	86775.0	643.8209350585937	814.1237731933594	51.660362243652344	0.9518817006258504	50.50625080132763	1000.906982421875	1000.0126953125	376980.0	910.9772247314454	1093.2177978515626	55.7734489440918	0.13687920570373535	0.4497591257095337	0.48919805884361267	0.3591312055587823
sub-0751_ses-wave2_T1w	0.4513370546540151	2.848391362303745	0.6333306647807287	609.09521484375	3.6373212628971654	3.694477875648018	3.802078608695652	3.415407304347826	0.13937540365986736	0.4939117497869925	0.3667128465531401	1.6975617408752441	0.7238626122474672	0.0	0.023574785446242915	25.588719857981165	8.445973290832246	11.7825952582702	176	232	256	2.8061327572272083	13.698043810459204	10.534804684566433	15.100237486012887	21.74998172123301	43.93409741853379	41.36499368067552	58.41090190225975	0.8999999761581421	0.8984375	0.8984375	3.0279299187716724	11.216302267169114	21.98899269104004	22.670028686523438	2821335.0	7.583920049667359	45.565802764892574	13.055442810058594	4.267546157361969	134.00492550730806	399.19342041015625	372.37188720703125	20402.0	232.72641830444337	629.5464813232422	132.69606018066406	0.936649404381634	51.185972881668505	752.9876098632812	752.1763916015625	72950.0	665.1268829345704	843.1431518554688	54.910850524902344	0.3605156078478289	60.678373401628164	995.2001953125	1000.0274047851562	237681.0	874.0150146484375	1096.430908203125	66.22579956054688	0.15360324084758759	0.47044357657432556	0.4832659363746643	0.6527805019934968
sub-0755_ses-wave1_T1w	0.3510010179673211	3.513906505682397	0.6196369362298149	863.5809326171875	3.75045596983095	3.877911213840676	3.901807304347826	3.471649391304348	0.1411128776600525	0.4823573379495587	0.37652978439038876	1.4643723964691162	0.6840723991394042	0.0	0.028598280567420604	25.075072368516434	8.536084437967473	11.658583575284645	176	232	256	2.923565874571592	14.503388165324345	12.141819153502325	18.998503420611037	21.328546659652265	38.71765521383516	37.46732271682163	52.35576627697746	0.8999999761581421	0.8984375	0.8984375	0.856371908052616	12.513412365841962	16.626298904418945	16.934675216674805	2903556.0	0.0	34.11402893066406	11.18343448638916	7.061771589424007	142.18805904738196	430.61297607421875	407.38525390625	21785.0	245.93966979980468	654.6301147460938	139.34213256835938	2.3240679001121345	44.466031271045665	740.5822143554688	739.525390625	67722.0	660.346923828125	822.3122650146483	50.98945999145508	0.9085685753540753	46.96774153305775	996.4360961914062	1000.0197143554688	270603.0	901.8188720703124	1076.0235107421875	52.63666534423828	0.15551906824111938	0.4656602740287781	0.49324920773506165	0.5965908373048943
sub-0755_ses-wave2_T1w	0.3659364174568843	3.3447752773860375	0.6670019932002528	429.94036865234375	3.6073566382907583	3.71625565400271	3.7715144347826084	3.3342998260869563	0.1457733170672301	0.4714498179369951	0.38277686499577485	1.610258936882019	0.6322258234024047	0.0	0.03318026863704765	24.275124475890987	8.602658235171308	11.455398041186726	176	232	256	2.8268427613989795	13.23897533347731	12.0205285690072	19.99576761214531	23.718561727298294	44.7206501234852	42.82042699888168	60.02206914586152	0.8999999761581421	0.8984375	0.8984375	0.7006644206391339	10.915034164042927	18.607742309570312	14.698312759399414	1856719.0	0.0	37.225271606445276	11.866806030273438	3.326559958553731	140.6263225735002	423.80877685546875	395.16796875	22527.0	245.8371780395508	661.4467163085939	139.78817749023438	2.0682699815197276	47.25423558968548	748.1737060546875	745.0775756835938	54813.0	663.4422485351563	846.2026977539062	56.27858352661133	0.6358371265662428	46.03482603185636	998.1367797851562	1000.010009765625	278316.0	911.6734008789062	1076.5896301269531	50.01099395751953	0.16031239926815033	0.45968329906463623	0.4935115873813629	0.6171798823344811
sub-0788_ses-wave2_T1w	0.36738923926973927	3.383281532634156	0.6234209042993127	1284.4141845703125	3.710167377070777	3.8589334355601586	3.8145224347826088	3.457046260869565	0.14222629124897213	0.4713045925215307	0.3864691162294972	1.5708744525909424	0.6761505603790283	0.0	0.018923551999982715	26.46831042495071	9.437871056342233	12.673274892904118	176	232	256	2.5687673678232765	13.59650915484215	11.506046528301708	18.352863062239695	23.970361943200672	48.34499818122219	45.95471522781574	65.54878555902437	0.8999999761581421	0.8984375	0.8984375	1.6077122034121718	9.994849595435292	15.006119728088379	13.516737937927246	2914705.0	0.0	33.84098434448242	10.322230339050293	22.12903817662014	115.08238217773614	397.1387634277344	365.6950988769531	12638.0	231.76909103393555	643.6939636230468	142.35646057128906	1.2104573980611555	47.94549525442939	739.2811889648438	737.557861328125	48445.0	654.4061401367187	831.4767456054685	54.24555969238281	0.7829317103428459	48.48070343444351	994.36474609375	1000.0211791992188	259824.0	892.3115478515625	1073.432177734375	54.488460540771484	0.1369810849428177	0.4345172047615051	0.47899267077445984	0.67447434248444
