parc_name,parcel_name,zALFF_sws_fa_r,zDCbin_sws_fa_r,zDCwei_sws_fa_r,zfALFF_sws_fa_r,zReHo_sws_fa_r,gmd_sws_fa_r,sws_fa
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,-0.175629839778199,0.101709960923443,0.090456597066787,-0.119283167387292,0.036419371022331,0.145499863304091,0.079172785151161
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.013297290388468,0.158417730924547,0.184703512273481,0.135273616051308,0.137672294109085,-0.097739485304093,0.531624958442796
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,-0.018219688778847,0.051093392136273,0.0502307838425,-0.048203470963285,-0.011316528658453,-0.087530019069851,-0.063945531491663
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.146904156648474,0.043273030275063,0.037090495588745,-0.042468254637702,-0.000134290435839,-0.08475892328197,0.099906214156771
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,-0.105316192170871,0.106390761060672,0.111051876850337,-0.098946328784266,-0.012977859238522,-0.088374726889938,-0.088172469172588
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,-0.088842117699546,0.158067170877142,0.159603327481376,0.052664498799194,0.074475308667685,-0.025227914123709,0.330740274002142
NAC_R,zReHo_NAC_Rgmd_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,-0.04141016399639,-0.015587339679818,-0.002807276682858,0.058862254900063,0.048229574621826,0.099903441724306,0.147190490887129
NAC_L,zReHo_NAC_Lgmd_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,-0.055333459927513,0.034438566860928,0.033480085012545,0.162006805044005,0.107435484282157,-0.045315085538371,0.236712395733751
GP_R,zReHo_GP_Rgmd_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,-0.118903997530184,0.075850271636857,0.072650365661264,0.074499343958514,0.104848210530848,-0.109972140666986,0.098972053590313
GP_L,zReHo_GP_Lgmd_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,-0.016263475621522,0.103799995523164,0.101058041382196,0.034411279962567,0.057925887998628,-0.118668362816422,0.162263366428611
vCa_R,zReHo_vCa_Rgmd_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,-0.125212865396808,0.081157269823592,0.087503520473481,-0.057253027227752,0.015449280065392,-0.073214480765772,-0.071570303027867
vCa_L,zReHo_vCa_Lgmd_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,-0.022556759324454,0.058682893292518,0.082579215701508,-0.078634544047343,0.050962054745293,-0.049663424107463,0.041369436260059
cHipp_R,zReHo_cHipp_Rgmd_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,-0.063837224322316,-0.08251768142402,-0.101559063564721,-0.031848958311818,-0.019350765431737,0.048590827275868,-0.250522865778744
cHipp_L,zReHo_cHipp_Lgmd_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,-0.090458034114208,0.035655884522256,0.03313299136104,0.214392682064424,0.189355426312156,0.040982882352857,0.423061832498525
rHipp_R,zReHo_rHipp_Rgmd_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,-0.109052990603689,-0.04722149563443,-0.036647170279716,0.140256854323292,0.076280471421155,-0.091663626417252,-0.06804795719064
rHipp_L,zReHo_rHipp_Lgmd_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,-0.124484950493545,0.035446271132894,0.055237552442725,0.295751115804704,0.125976725888261,0.019574620263968,0.407501335039007
