parc_name,parcel_name,zDCbin_sws_gb_fdr,zDCwei_sws_gb_fdr,zALFF_sws_gb_fdr,zfALFF_sws_gb_fdr,gmd_sws_gb_fdr,zReHo_sws_gb_fdr,sws_gb
17Networks_RH_SalVentAttnA_ParMed_2,gmd_17Networks_RH_SalVentAttnA_ParMed_2,,,,,0.04797148140474,,0.04797148140474
17Networks_RH_SomMotA_19,gmd_17Networks_RH_SomMotA_19,,,,,0.04797148140474,,0.04797148140474
17Networks_RH_VisPeri_ExStrInf_4,gmd_17Networks_RH_VisPeri_ExStrInf_4,,,,,0.04797148140474,,0.04797148140474
17Networks_RH_VisCent_ExStr_6,gmd_17Networks_RH_VisCent_ExStr_6,,,,,0.04797148140474,,0.04797148140474
17Networks_RH_VisCent_ExStr_4,gmd_17Networks_RH_VisCent_ExStr_4,,,,,0.04797148140474,,0.04797148140474
17Networks_LH_DefaultB_PFCv_4,gmd_17Networks_LH_DefaultB_PFCv_4,,,,,0.04797148140474,,0.04797148140474
17Networks_LH_DorsAttnB_PrCv_1,gmd_17Networks_LH_DorsAttnB_PrCv_1,,,,,0.04797148140474,,0.04797148140474
17Networks_LH_SomMotB_S2_6,gmd_17Networks_LH_SomMotB_S2_6,,,,,0.048787092967062,,0.048787092967062
17Networks_LH_SomMotA_11,gmd_17Networks_LH_SomMotA_11,,,,,0.04797148140474,,0.04797148140474
17Networks_LH_SomMotA_3,gmd_17Networks_LH_SomMotA_3,,,,,0.048218881537952,,0.048218881537952
17Networks_LH_VisPeri_ExStrSup_2,gmd_17Networks_LH_VisPeri_ExStrSup_2,,,,,0.049185718715145,,0.049185718715145
17Networks_LH_VisPeri_ExStrInf_2,gmd_17Networks_LH_VisPeri_ExStrInf_2,,,,,0.048787092967062,,0.048787092967062
NAC_R,zfALFF_NAC_R,,,,0.04797148140474,,,0.04797148140474
rHipp_R,zfALFF_rHipp_R,,,,0.04797148140474,,,0.04797148140474
rHipp_L,zfALFF_rHipp_L,,,,0.04797148140474,,,0.04797148140474
lAmyg_L,zfALFF_lAmyg_L,,,,0.04797148140474,,,0.04797148140474
mAmyg_R,zfALFF_mAmyg_R,,,,0.04797148140474,,,0.04797148140474
mAmyg_L,zfALFF_mAmyg_L,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DefaultC_PHC_1,zfALFF_17Networks_RH_DefaultC_PHC_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DefaultB_PFCv_1,zfALFF_17Networks_RH_DefaultB_PFCv_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DefaultA_PFCm_5,zfALFF_17Networks_RH_DefaultA_PFCm_5,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_ContC_pCun_4,zfALFF_17Networks_RH_ContC_pCun_4,,,,0.045570366832905,,,0.045570366832905
17Networks_RH_ContC_pCun_2,zfALFF_17Networks_RH_ContC_pCun_2,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_ContB_PFClv_4,zfALFF_17Networks_RH_ContB_PFClv_4,,,,0.049959247299893,,,0.049959247299893
17Networks_RH_ContB_IPL_1,zfALFF_17Networks_RH_ContB_IPL_1zALFF_17Networks_RH_ContB_IPL_1,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_RH_ContA_IPS_1,zfALFF_17Networks_RH_ContA_IPS_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SalVentAttnA_ParMed_3,zfALFF_17Networks_RH_SalVentAttnA_ParMed_3,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SalVentAttnA_Ins_2,zfALFF_17Networks_RH_SalVentAttnA_Ins_2,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SalVentAttnA_Ins_1,zfALFF_17Networks_RH_SalVentAttnA_Ins_1,,,,0.04983523062118,,,0.04983523062118
17Networks_RH_DorsAttnB_PostC_2,zfALFF_17Networks_RH_DorsAttnB_PostC_2zALFF_17Networks_RH_DorsAttnB_PostC_2,0,0,0.048845873350123,0.04797148140474,0,0,0.096817354754863
17Networks_RH_DorsAttnA_SPL_7,zfALFF_17Networks_RH_DorsAttnA_SPL_7,,,,0.04983523062118,,,0.04983523062118
17Networks_RH_DorsAttnA_SPL_6,zfALFF_17Networks_RH_DorsAttnA_SPL_6zDCwei_17Networks_RH_DorsAttnA_SPL_6,0,0.049959247299893,0,0.04797148140474,0,0,0.097930728704633
17Networks_RH_DorsAttnA_SPL_5,zfALFF_17Networks_RH_DorsAttnA_SPL_5,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DorsAttnA_SPL_4,zfALFF_17Networks_RH_DorsAttnA_SPL_4zALFF_17Networks_RH_DorsAttnA_SPL_4,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_RH_DorsAttnA_SPL_3,zfALFF_17Networks_RH_DorsAttnA_SPL_3,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DorsAttnA_SPL_1,zfALFF_17Networks_RH_DorsAttnA_SPL_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SomMotB_Aud_3,zfALFF_17Networks_RH_SomMotB_Aud_3,,,,0.04983523062118,,,0.04983523062118
17Networks_RH_SomMotA_3,zfALFF_17Networks_RH_SomMotA_3,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_VisPeri_ExStrSup_2,zfALFF_17Networks_RH_VisPeri_ExStrSup_2,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_VisPeri_ExStrInf_3,zfALFF_17Networks_RH_VisPeri_ExStrInf_3zALFF_17Networks_RH_VisPeri_ExStrInf_3,0,0,0.048787092967062,0.04797148140474,0,0,0.096758574371802
17Networks_RH_VisCent_ExStr_10,zfALFF_17Networks_RH_VisCent_ExStr_10,,,,0.04983523062118,,,0.04983523062118
17Networks_RH_VisCent_ExStr_8,zfALFF_17Networks_RH_VisCent_ExStr_8zALFF_17Networks_RH_VisCent_ExStr_8,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_RH_VisCent_ExStr_3,zfALFF_17Networks_RH_VisCent_ExStr_3,,,,0.04983523062118,,,0.04983523062118
17Networks_LH_TempPar_1,zfALFF_17Networks_LH_TempPar_1,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DefaultB_PFCv_1,zfALFF_17Networks_LH_DefaultB_PFCv_1,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DefaultB_PFCd_2,zfALFF_17Networks_LH_DefaultB_PFCd_2,,,,0.049185718715145,,,0.049185718715145
17Networks_LH_DefaultA_pCunPCC_7,zfALFF_17Networks_LH_DefaultA_pCunPCC_7,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_ContC_pCun_3,zfALFF_17Networks_LH_ContC_pCun_3,,,,0.04983523062118,,,0.04983523062118
17Networks_LH_ContC_pCun_2,zfALFF_17Networks_LH_ContC_pCun_2zALFF_17Networks_LH_ContC_pCun_2,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_LH_ContB_PFClv_3,zfALFF_17Networks_LH_ContB_PFClv_3,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_ContA_PFCl_3,zfALFF_17Networks_LH_ContA_PFCl_3,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_ContA_IPS_3,zfALFF_17Networks_LH_ContA_IPS_3,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_LimbicA_TempPole_7,zfALFF_17Networks_LH_LimbicA_TempPole_7,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_LimbicA_TempPole_5,zfALFF_17Networks_LH_LimbicA_TempPole_5zALFF_17Networks_LH_LimbicA_TempPole_5,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_LH_LimbicA_TempPole_2,zfALFF_17Networks_LH_LimbicA_TempPole_2zALFF_17Networks_LH_LimbicA_TempPole_2,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_LH_LimbicA_TempPole_1,zfALFF_17Networks_LH_LimbicA_TempPole_1zALFF_17Networks_LH_LimbicA_TempPole_1,0,0,0.04797148140474,0.04797148140474,0,0,0.09594296280948
17Networks_LH_LimbicB_OFC_4,zfALFF_17Networks_LH_LimbicB_OFC_4,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_SalVentAttnB_PFCl_2,zfALFF_17Networks_LH_SalVentAttnB_PFCl_2,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_SalVentAttnA_ParMed_3,zfALFF_17Networks_LH_SalVentAttnA_ParMed_3,,,,0.04983523062118,,,0.04983523062118
17Networks_LH_DorsAttnB_PostC_8,zfALFF_17Networks_LH_DorsAttnB_PostC_8,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DorsAttnB_PostC_2,zfALFF_17Networks_LH_DorsAttnB_PostC_2,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DorsAttnB_PostC_1,zfALFF_17Networks_LH_DorsAttnB_PostC_1,,,,0.048787092967062,,,0.048787092967062
17Networks_LH_DorsAttnA_SPL_7,zfALFF_17Networks_LH_DorsAttnA_SPL_7,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DorsAttnA_SPL_5,zfALFF_17Networks_LH_DorsAttnA_SPL_5,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_DorsAttnA_SPL_3,zfALFF_17Networks_LH_DorsAttnA_SPL_3,,,,0.045570366832905,,,0.045570366832905
17Networks_LH_SomMotB_Cent_3,zfALFF_17Networks_LH_SomMotB_Cent_3,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_SomMotB_Cent_2,zfALFF_17Networks_LH_SomMotB_Cent_2,,,,0.048218881537952,,,0.048218881537952
17Networks_LH_SomMotB_S2_2,zfALFF_17Networks_LH_SomMotB_S2_2,,,,0.04797148140474,,,0.04797148140474
17Networks_LH_SomMotA_1,zfALFF_17Networks_LH_SomMotA_1,,,,0.04797148140474,,,0.04797148140474
17Networks_RH_DefaultA_PFCm_6,zALFF_17Networks_RH_DefaultA_PFCm_6,,,0.04797148140474,,,,0.04797148140474
17Networks_RH_VisCent_ExStr_7,zALFF_17Networks_RH_VisCent_ExStr_7,,,0.04797148140474,,,,0.04797148140474
17Networks_LH_DefaultC_Rsp_2,zALFF_17Networks_LH_DefaultC_Rsp_2,,,0.04797148140474,,,,0.04797148140474
17Networks_LH_DefaultB_Temp_1,zALFF_17Networks_LH_DefaultB_Temp_1,,,0.04797148140474,,,,0.04797148140474
17Networks_LH_VisPeri_StriCal_1,zALFF_17Networks_LH_VisPeri_StriCal_1,,,0.049185718715145,,,,0.049185718715145
17Networks_RH_DorsAttnA_SPL_8,zDCwei_17Networks_RH_DorsAttnA_SPL_8,,0.04983523062118,,,,,0.04983523062118
17Networks_LH_DefaultA_pCunPCC_1,zDCwei_17Networks_LH_DefaultA_pCunPCC_1zDCbin_17Networks_LH_DefaultA_pCunPCC_1,0.048218881537952,0.04797148140474,0,0,0,0,0.096190362942692
17Networks_LH_SalVentAttnA_FrMed_2,zDCwei_17Networks_LH_SalVentAttnA_FrMed_2zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,0.04797148140474,0.04797148140474,0,0,0,0,0.09594296280948
17Networks_LH_SalVentAttnA_FrMed_1,zDCwei_17Networks_LH_SalVentAttnA_FrMed_1zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0.04797148140474,0.04797148140474,0,0,0,0,0.09594296280948
17Networks_LH_SomMotB_S2_4,zDCwei_17Networks_LH_SomMotB_S2_4zDCbin_17Networks_LH_SomMotB_S2_4,0.04797148140474,0.04797148140474,0,0,0,0,0.09594296280948
