parc_name,parcel_name,zALFF_sws_total_p,zfALFF_sws_total_p,zDCbin_sws_total_p,zDCwei_sws_total_p,fALFF_sws_total_p,zReHo_sws_total_p,gmd_sws_total_p,sws_total
dCa_L,gmd_dCa_LzReHo_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.054596682232287,0.285436223858998,0.781702082554471,0.738739382349348,0,0.151008655562301,0.35450485728243,2.36598788383984
vmPu_R,gmd_vmPu_RzReHo_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,0.394633792741718,0.220712833392621,0.499665707487758,0.438276088479225,0,0.471419724895809,0.768706994554016,2.79341514155115
vmPu_L,gmd_vmPu_LzReHo_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,0.887674532560153,0.919339473182353,0.39109390463478,0.367215458985979,0,0.812778460775002,0.781696854073129,4.1597986842114
NAC_R,gmd_NAC_RzReHo_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,0.904520132215271,0.261174155915036,0.955256540396424,0.799688470940994,0,0.442690848528754,0.581267501837217,3.9445976498337
NAC_L,gmd_NAC_LzReHo_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,0.976327200002969,0.099220516863009,0.55228060238206,0.571958412569743,0,0.383681918914981,0.621572055054124,3.20504070578689
GP_R,gmd_GP_RzReHo_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,0.561446588932555,0.405541890720846,0.543230679730207,0.467073896085795,0,0.69542477850579,0.81012814899581,3.482845982971
GP_L,gmd_GP_LzReHo_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.910942900704505,0.635985756145396,0.578983784032082,0.533143596048866,0,0.915305378568935,0.552214213533685,4.12657562903347
vCa_R,gmd_vCa_RzReHo_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,0.105114855358005,0.380437409780944,0.645394641368967,0.584682000303786,0,0.905388884104145,0.599407263828723,3.22042505474457
vCa_L,gmd_vCa_LzReHo_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.900183120723272,0.230674663072595,0.869597854394232,0.870569847285415,0,0.523764344089085,0.94735106907925,4.34214089864385
cHipp_R,gmd_cHipp_RzReHo_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,0.974821116524528,0.859603515080838,0.914206351469062,0.925927553392186,0,0.912453672408648,0.992388489346051,5.57940069822131
cHipp_L,gmd_cHipp_LzReHo_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,0.969045743359178,0.001066302507256,0.4092021927279,0.446006295554552,0,0.021680363642533,0.349777821520726,2.19677871931214
rHipp_R,gmd_rHipp_RzReHo_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,0.726384797073437,0.015136132177025,0.344070588429158,0.347099174532423,0,0.187089270640355,0.633937790155378,2.25371775300778
rHipp_L,gmd_rHipp_LzReHo_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,0.852758073076188,0.000158969849225,0.219027206207388,0.166191371988538,0,0.241857052160968,0.808183056161785,2.28817572944409
lAmyg_R,gmd_lAmyg_RzReHo_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,0.981348620054942,0.014424256906563,0.134508923037515,0.128521699926406,0,0.138474776942299,0.570918748099554,1.96819702496728
lAmyg_L,gmd_lAmyg_LzReHo_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,0.943799359310498,0.024951986488281,0.315001195225472,0.270871719851073,0,0.311328608814483,0.988759418591038,2.85471228828084
mAmyg_R,gmd_mAmyg_RzReHo_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,0.827965490994383,0.001689378231621,0.171654657956021,0.13201896394818,0,0.237631185223767,0.435552782149245,1.80651245850322
mAmyg_L,gmd_mAmyg_LzReHo_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,0.366180338856056,0.000189046336226,0.304383216367635,0.331183547575852,0,0.014883590111324,0.777749849704542,1.79456958895163
17Networks_RH_TempPar_2,gmd_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2zReHo_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2,0.000611933091776,0.212978626825195,0.031727556526561,0.031147637098014,0,0.639305216878139,0.950696581651234,1.86646755207092
17Networks_RH_TempPar_1,gmd_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1zReHo_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1,0.277039360919803,0.22504677937211,0.763698092102731,0.753956860248853,0,0.48482595007631,0.129744874518397,2.6343119172382
17Networks_RH_DefaultC_PHC_1,gmd_17Networks_RH_DefaultC_PHC_1zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1zReHo_17Networks_RH_DefaultC_PHC_1zfALFF_17Networks_RH_DefaultC_PHC_1zALFF_17Networks_RH_DefaultC_PHC_1,0.175956310662928,0.71504117122136,0.038174713985338,0.047906582681114,0,0.180911658125459,0.473370332201405,1.6313607688776
17Networks_RH_DefaultC_Rsp_1,gmd_17Networks_RH_DefaultC_Rsp_1zDCwei_17Networks_RH_DefaultC_Rsp_1zDCbin_17Networks_RH_DefaultC_Rsp_1zReHo_17Networks_RH_DefaultC_Rsp_1zfALFF_17Networks_RH_DefaultC_Rsp_1zALFF_17Networks_RH_DefaultC_Rsp_1,0.490455822555978,0.466536766785008,0.371633555307664,0.295316581950259,0,0.651923763760166,0.889527700029097,3.16539419038817
17Networks_RH_DefaultB_PFCv_2,gmd_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2zReHo_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2,0.205219425794966,0.118275400636826,0.740352446444096,0.797544604667094,0,0.748646050121606,0.909172437909714,3.5192103655743
17Networks_RH_DefaultB_PFCv_1,gmd_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1zReHo_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1,0.714670855677102,0.502695070788286,0.910060774072796,0.927723731060261,0,0.643062944765474,0.991545548020854,4.68975892438477
17Networks_RH_DefaultB_PFCd_1,gmd_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1zReHo_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1,0.050377466393987,0.21562123231309,0.761170794895508,0.686984699206628,0,0.291049716550165,0.250963336245515,2.25616724560489
17Networks_RH_DefaultA_PFCm_1,gmd_17Networks_RH_DefaultA_PFCm_1zDCwei_17Networks_RH_DefaultA_PFCm_1zDCbin_17Networks_RH_DefaultA_PFCm_1zReHo_17Networks_RH_DefaultA_PFCm_1zfALFF_17Networks_RH_DefaultA_PFCm_1zALFF_17Networks_RH_DefaultA_PFCm_1,0.132889283771563,0.127854584388214,0.23106859054309,0.197225459720039,0,0.043846780624106,0.26615764192258,0.999042340969592
17Networks_RH_DefaultA_pCunPCC_1,gmd_17Networks_RH_DefaultA_pCunPCC_1zDCwei_17Networks_RH_DefaultA_pCunPCC_1zDCbin_17Networks_RH_DefaultA_pCunPCC_1zReHo_17Networks_RH_DefaultA_pCunPCC_1zfALFF_17Networks_RH_DefaultA_pCunPCC_1zALFF_17Networks_RH_DefaultA_pCunPCC_1,0.466477563046182,0.196306942628278,0.656256565299488,0.606134293368317,0,0.097509486507107,0.110653839904703,2.13333869075407
17Networks_RH_DefaultA_PFCd_1,gmd_17Networks_RH_DefaultA_PFCd_1zDCwei_17Networks_RH_DefaultA_PFCd_1zDCbin_17Networks_RH_DefaultA_PFCd_1zReHo_17Networks_RH_DefaultA_PFCd_1zfALFF_17Networks_RH_DefaultA_PFCd_1zALFF_17Networks_RH_DefaultA_PFCd_1,0.08466871620726,0.007616267497155,0.4528514686737,0.560461522746763,0,0.541950767777522,0.413261246955464,2.06080998985786
17Networks_RH_DefaultA_IPL_1,gmd_17Networks_RH_DefaultA_IPL_1zDCwei_17Networks_RH_DefaultA_IPL_1zDCbin_17Networks_RH_DefaultA_IPL_1zReHo_17Networks_RH_DefaultA_IPL_1zfALFF_17Networks_RH_DefaultA_IPL_1zALFF_17Networks_RH_DefaultA_IPL_1,0.55674247190616,0.066160585901062,0.101633503942245,0.221114840120466,0,0.541965681485914,0.104992086362166,1.59260916971801
17Networks_RH_ContC_pCun_1,gmd_17Networks_RH_ContC_pCun_1zDCwei_17Networks_RH_ContC_pCun_1zDCbin_17Networks_RH_ContC_pCun_1zReHo_17Networks_RH_ContC_pCun_1zfALFF_17Networks_RH_ContC_pCun_1zALFF_17Networks_RH_ContC_pCun_1,0.723438174674278,0.089210381795006,0.966074245759489,0.820847583086942,0,0.381754717329307,0.813379342604025,3.79470444524905
17Networks_RH_ContC_Cingp_1,gmd_17Networks_RH_ContC_Cingp_1zDCwei_17Networks_RH_ContC_Cingp_1zDCbin_17Networks_RH_ContC_Cingp_1zReHo_17Networks_RH_ContC_Cingp_1zfALFF_17Networks_RH_ContC_Cingp_1zALFF_17Networks_RH_ContC_Cingp_1,0.367407603608796,0.101610492177483,0.909707441497453,0.936847649980238,0,0.098688641927031,0.448149209013515,2.86241103820452
17Networks_RH_ContB_PFClv_1,gmd_17Networks_RH_ContB_PFClv_1zDCwei_17Networks_RH_ContB_PFClv_1zDCbin_17Networks_RH_ContB_PFClv_1zReHo_17Networks_RH_ContB_PFClv_1zfALFF_17Networks_RH_ContB_PFClv_1zALFF_17Networks_RH_ContB_PFClv_1,0.268825620929636,0.106915362248958,0.995521018183722,0.853692265435453,0,0.182260879453006,0.293124382861842,2.70033952911262
17Networks_RH_ContB_PFCld_1,gmd_17Networks_RH_ContB_PFCld_1zDCwei_17Networks_RH_ContB_PFCld_1zDCbin_17Networks_RH_ContB_PFCld_1zReHo_17Networks_RH_ContB_PFCld_1zfALFF_17Networks_RH_ContB_PFCld_1zALFF_17Networks_RH_ContB_PFCld_1,0.373316164248664,0.008647909152184,0.218663134986442,0.120482264233169,0,0.613652436237275,0.790864210208565,2.1256261190663
17Networks_RH_ContB_IPL_1,gmd_17Networks_RH_ContB_IPL_1zDCwei_17Networks_RH_ContB_IPL_1zDCbin_17Networks_RH_ContB_IPL_1zReHo_17Networks_RH_ContB_IPL_1zfALFF_17Networks_RH_ContB_IPL_1zALFF_17Networks_RH_ContB_IPL_1,0.634641464502269,0.167527213295405,0.325888520829251,0.313280389091883,0,0.821389141297463,0.803551082242778,3.06627781125905
17Networks_RH_ContB_Temp_1,gmd_17Networks_RH_ContB_Temp_1zDCwei_17Networks_RH_ContB_Temp_1zDCbin_17Networks_RH_ContB_Temp_1zReHo_17Networks_RH_ContB_Temp_1zfALFF_17Networks_RH_ContB_Temp_1zALFF_17Networks_RH_ContB_Temp_1,0.130939966546323,0.01620741070223,0.352080516420766,0.392802851705389,0,0.702845638301217,0.974884894683758,2.56976127835968
17Networks_RH_ContA_PFCl_2,gmd_17Networks_RH_ContA_PFCl_2zDCwei_17Networks_RH_ContA_PFCl_2zDCbin_17Networks_RH_ContA_PFCl_2zReHo_17Networks_RH_ContA_PFCl_2zfALFF_17Networks_RH_ContA_PFCl_2zALFF_17Networks_RH_ContA_PFCl_2,0.018171669428904,0.001909161161832,0.173297840038007,0.179111281463642,0,0.31171143331991,0.7738255280141,1.4580269134264
17Networks_RH_ContA_PFCl_1,gmd_17Networks_RH_ContA_PFCl_1zDCwei_17Networks_RH_ContA_PFCl_1zDCbin_17Networks_RH_ContA_PFCl_1zReHo_17Networks_RH_ContA_PFCl_1zfALFF_17Networks_RH_ContA_PFCl_1zALFF_17Networks_RH_ContA_PFCl_1,0.482227155624037,0.000452226499544,0.379187669372814,0.452588905058572,0,0.927883020340511,0.332253500624633,2.57459247752011
17Networks_RH_ContA_IPS_1,gmd_17Networks_RH_ContA_IPS_1zDCwei_17Networks_RH_ContA_IPS_1zDCbin_17Networks_RH_ContA_IPS_1zReHo_17Networks_RH_ContA_IPS_1zfALFF_17Networks_RH_ContA_IPS_1zALFF_17Networks_RH_ContA_IPS_1,0.414940049622074,0.003810299131975,0.261306231745324,0.444902581498093,0,0.092593556726955,0.780773240927905,1.99832595965233
17Networks_RH_LimbicA_TempPole_1,gmd_17Networks_RH_LimbicA_TempPole_1zDCwei_17Networks_RH_LimbicA_TempPole_1zDCbin_17Networks_RH_LimbicA_TempPole_1zReHo_17Networks_RH_LimbicA_TempPole_1zfALFF_17Networks_RH_LimbicA_TempPole_1zALFF_17Networks_RH_LimbicA_TempPole_1,0.773128267784741,0.523803119367693,0.523691223488347,0.713133891175988,0,0.978641264764949,0.562481861753936,4.07487962833565
17Networks_RH_LimbicB_OFC_1,gmd_17Networks_RH_LimbicB_OFC_1zDCwei_17Networks_RH_LimbicB_OFC_1zDCbin_17Networks_RH_LimbicB_OFC_1zReHo_17Networks_RH_LimbicB_OFC_1zfALFF_17Networks_RH_LimbicB_OFC_1zALFF_17Networks_RH_LimbicB_OFC_1,0.956402072292846,0.930580278270641,0.753401727132787,0.71972884004533,0,0.574115281103237,0.591368367683796,4.52559656652864
17Networks_RH_SalVentAttnB_PFCmp_1,gmd_17Networks_RH_SalVentAttnB_PFCmp_1zDCwei_17Networks_RH_SalVentAttnB_PFCmp_1zDCbin_17Networks_RH_SalVentAttnB_PFCmp_1zReHo_17Networks_RH_SalVentAttnB_PFCmp_1zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1zALFF_17Networks_RH_SalVentAttnB_PFCmp_1,0.167616643964922,0.000666462943875,0.408467966974796,0.469791272940418,0,0.076989116984876,0.726637572129763,1.85016903593865
17Networks_RH_SalVentAttnB_PFCl_1,gmd_17Networks_RH_SalVentAttnB_PFCl_1zDCwei_17Networks_RH_SalVentAttnB_PFCl_1zDCbin_17Networks_RH_SalVentAttnB_PFCl_1zReHo_17Networks_RH_SalVentAttnB_PFCl_1zfALFF_17Networks_RH_SalVentAttnB_PFCl_1zALFF_17Networks_RH_SalVentAttnB_PFCl_1,0.453930752982175,0.009764309784417,0.134842507347706,0.165276699827088,0,0.151405162109778,0.288143468155385,1.20336290020655
17Networks_RH_SalVentAttnB_IPL_1,gmd_17Networks_RH_SalVentAttnB_IPL_1zDCwei_17Networks_RH_SalVentAttnB_IPL_1zDCbin_17Networks_RH_SalVentAttnB_IPL_1zReHo_17Networks_RH_SalVentAttnB_IPL_1zfALFF_17Networks_RH_SalVentAttnB_IPL_1zALFF_17Networks_RH_SalVentAttnB_IPL_1,0.544888179975721,0.050252198009866,0.051519740134497,0.070560706201141,0,0.872590221840535,0.190856091653961,1.78066713781572
17Networks_RH_SalVentAttnA_FrMed_1,gmd_17Networks_RH_SalVentAttnA_FrMed_1zDCwei_17Networks_RH_SalVentAttnA_FrMed_1zDCbin_17Networks_RH_SalVentAttnA_FrMed_1zReHo_17Networks_RH_SalVentAttnA_FrMed_1zfALFF_17Networks_RH_SalVentAttnA_FrMed_1zALFF_17Networks_RH_SalVentAttnA_FrMed_1,0.577413939180347,0.005130341206587,0.103395075274167,0.070893276755477,0,0.1099011009279,0.359993657001786,1.22672739034626
17Networks_RH_SalVentAttnA_ParMed_1,gmd_17Networks_RH_SalVentAttnA_ParMed_1zDCwei_17Networks_RH_SalVentAttnA_ParMed_1zDCbin_17Networks_RH_SalVentAttnA_ParMed_1zReHo_17Networks_RH_SalVentAttnA_ParMed_1zfALFF_17Networks_RH_SalVentAttnA_ParMed_1zALFF_17Networks_RH_SalVentAttnA_ParMed_1,0.506305476970732,0.058946974916318,0.016514723561053,0.025435023364016,0,0.137113112044681,0.975900490075671,1.72021580093247
17Networks_RH_SalVentAttnA_Ins_1,gmd_17Networks_RH_SalVentAttnA_Ins_1zDCwei_17Networks_RH_SalVentAttnA_Ins_1zDCbin_17Networks_RH_SalVentAttnA_Ins_1zReHo_17Networks_RH_SalVentAttnA_Ins_1zfALFF_17Networks_RH_SalVentAttnA_Ins_1zALFF_17Networks_RH_SalVentAttnA_Ins_1,0.256847357686208,0.962796046068404,0.720439896245738,0.808346705206303,0,0.505989454584885,0.752472862146644,4.00689232193818
17Networks_RH_SalVentAttnA_ParOper_1,gmd_17Networks_RH_SalVentAttnA_ParOper_1zDCwei_17Networks_RH_SalVentAttnA_ParOper_1zDCbin_17Networks_RH_SalVentAttnA_ParOper_1zReHo_17Networks_RH_SalVentAttnA_ParOper_1zfALFF_17Networks_RH_SalVentAttnA_ParOper_1zALFF_17Networks_RH_SalVentAttnA_ParOper_1,0.135767335295064,0.071902667926467,0.123088913566575,0.153945250668694,0,0.738313012569414,0.957207911687315,2.18022509171353
17Networks_RH_DorsAttnB_FEF_1,gmd_17Networks_RH_DorsAttnB_FEF_1zDCwei_17Networks_RH_DorsAttnB_FEF_1zDCbin_17Networks_RH_DorsAttnB_FEF_1zReHo_17Networks_RH_DorsAttnB_FEF_1zfALFF_17Networks_RH_DorsAttnB_FEF_1zALFF_17Networks_RH_DorsAttnB_FEF_1,0.88482632470191,0.002317560313245,0.238220890610154,0.283073913572155,0,0.398820420316666,0.72727606568629,2.53453517520042
