parc_name,parcel_name,zALFF_sws_gb_r,zDCbin_sws_gb_r,zDCwei_sws_gb_r,zfALFF_sws_gb_r,zReHo_sws_gb_r,gmd_sws_gb_r,sws_gb
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.008591411467793,0.073042336352923,0.061876154402528,0.007486687278588,0.010285133403272,-0.056955025455966,0.104326697449138
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,-0.036312446866487,-0.027643199958183,-0.030630879895522,0.083008758844322,0.023216922502342,-0.104431514653118,-0.092792360026646
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,-0.045211044378771,-0.124465733574203,-0.124446190482521,0.033588560910585,0.00880519756023,0.033435838725188,-0.218293371239492
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,-0.009595578423297,0.146414616534038,0.162541552737634,0.050983514692286,0.111370265086151,0.160456144990683,0.622170515617495
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,-0.028628734151532,0.140781679769296,0.152779022796353,0.084880931602415,0.068470718745123,-0.112166817733761,0.306116801027894
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.051723569951828,0.010628440401797,0.023677572871827,0.01378733597961,0.000603715783475,-0.220527164407789,-0.120106529419252
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,-0.003734848982602,0.111413712509283,0.101828835126868,0.090406671754506,0.073613020077718,0.094166688383564,0.467694078869337
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,-0.026146029993355,0.095843651648281,0.083921871951222,-0.002633815333891,0.070776156182268,-0.081031704422047,0.140730130032478
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,-0.008169680124194,0.174545329147009,0.175905763583567,0.173106072219713,0.171960443675839,-0.016299504528682,0.671048423973252
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,-0.033852709059216,0.169882904928056,0.176155025066189,0.111697963579474,0.100449583818492,0.017421271538024,0.541754039871019
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,-0.023700156623912,0.148364325034168,0.147110804234368,0.060692255533384,0.138147796651771,-0.024765907004066,0.445849117825713
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,-0.009814831869801,0.129349706919853,0.125378968588486,0.166571076548462,0.142970178186776,-0.020125283913752,0.534329814460024
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.003969330251306,0.037919095550083,0.033227143158887,0.165076443202065,0.110201022182989,-0.035784074095405,0.314608960249925
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.009973544088847,0.132784581751043,0.129486772163608,0.113510581803582,0.087987524363639,0.029119078356861,0.50286208252758
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.001432108520106,0.114452525861913,0.121481167162641,0.111493698610141,0.106582617486082,-0.048364267256215,0.407077850384668
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.019864114093068,0.131028107674875,0.13808559000637,0.0951141084926,0.075262522997433,-0.009824725249724,0.449529718014622
