,gmd_sws_rs_fdr,gmd_sws_rs_p,gmd_sws_rs_r,parc_name,parcel_name,sws_rs,zALFF_sws_rs_fdr,zALFF_sws_rs_p,zALFF_sws_rs_r,zDCbin_sws_rs_fdr,zDCbin_sws_rs_p,zDCbin_sws_rs_r,zDCwei_sws_rs_fdr,zDCwei_sws_rs_p,zDCwei_sws_rs_r,zReHo_sws_rs_fdr,zReHo_sws_rs_p,zReHo_sws_rs_r,zfALFF_sws_rs_bonferroni,zfALFF_sws_rs_fdr,zfALFF_sws_rs_p,zfALFF_sws_rs_r
376,,0.605733312445584,0.04821009895348,17Networks_LH_DorsAttnB_PostC_5,zReHo_17Networks_LH_DorsAttnB_PostC_5gmd_17Networks_LH_DorsAttnB_PostC_5zfALFF_17Networks_LH_DorsAttnB_PostC_5zALFF_17Networks_LH_DorsAttnB_PostC_5zDCwei_17Networks_LH_DorsAttnB_PostC_5zDCbin_17Networks_LH_DorsAttnB_PostC_5,-0.423956559485999,,0.395558254297328,0.079271168069482,,0.070905315117645,-0.167588816761754,,0.082212291187198,-0.161355160137989,,0.825361275061526,-0.02061874594604,,0.040231940452823,0.029058427295325,-0.201875103663178
377,,0.827101009058098,-0.020410072745322,17Networks_LH_DorsAttnB_PostC_4,zReHo_17Networks_LH_DorsAttnB_PostC_4gmd_17Networks_LH_DorsAttnB_PostC_4zfALFF_17Networks_LH_DorsAttnB_PostC_4zALFF_17Networks_LH_DorsAttnB_PostC_4zDCwei_17Networks_LH_DorsAttnB_PostC_4zDCbin_17Networks_LH_DorsAttnB_PostC_4,-0.174319854194084,0.035281667812391,0.022483326806833,0.210866230775657,,0.079088731575016,-0.163004573829367,,0.159765445625005,-0.130817167575054,,0.98906259270662,0.001281099711825,,,0.438949826680794,-0.072235370531823
378,,0.836045054674058,0.01933883588534,17Networks_LH_DorsAttnB_PostC_3,zReHo_17Networks_LH_DorsAttnB_PostC_3gmd_17Networks_LH_DorsAttnB_PostC_3zfALFF_17Networks_LH_DorsAttnB_PostC_3zALFF_17Networks_LH_DorsAttnB_PostC_3zDCwei_17Networks_LH_DorsAttnB_PostC_3zDCbin_17Networks_LH_DorsAttnB_PostC_3,-0.032902051831168,,0.054409780529003,0.178319683040965,,0.479148221311864,-0.066062178353676,,0.393743647792091,-0.079575055035281,,0.396018323175093,-0.079194253877576,,,0.951116574793758,-0.00572908349094
379,,0.916572681691343,-0.009789187901731,17Networks_LH_DorsAttnB_PostC_2,zReHo_17Networks_LH_DorsAttnB_PostC_2gmd_17Networks_LH_DorsAttnB_PostC_2zfALFF_17Networks_LH_DorsAttnB_PostC_2zALFF_17Networks_LH_DorsAttnB_PostC_2zDCwei_17Networks_LH_DorsAttnB_PostC_2zDCbin_17Networks_LH_DorsAttnB_PostC_2,-0.517534580967994,,0.947211536197997,-0.006187385750737,,0.206003677380141,-0.117772295246704,,0.166233184254051,-0.128837866565892,,0.908738521861932,-0.010712243276889,,0.023518087658853,0.007959968130689,-0.244235602226041
380,,0.770983527024032,0.027198192636071,17Networks_LH_DorsAttnB_PostC_1,zReHo_17Networks_LH_DorsAttnB_PostC_1gmd_17Networks_LH_DorsAttnB_PostC_1zfALFF_17Networks_LH_DorsAttnB_PostC_1zALFF_17Networks_LH_DorsAttnB_PostC_1zDCwei_17Networks_LH_DorsAttnB_PostC_1zDCbin_17Networks_LH_DorsAttnB_PostC_1,-0.524150898413156,,0.673708093427069,0.039334663657848,0.042033018633521,0.032307004273126,-0.198059384515655,0.043378080487068,0.034120686690362,-0.19606833707045,,0.466841500134239,-0.067920711052462,,,0.166905839989665,-0.128635322068508
381,,0.546343998902355,-0.056330751752267,17Networks_LH_DorsAttnA_SPL_7,zReHo_17Networks_LH_DorsAttnA_SPL_7gmd_17Networks_LH_DorsAttnA_SPL_7zfALFF_17Networks_LH_DorsAttnA_SPL_7zALFF_17Networks_LH_DorsAttnA_SPL_7zDCwei_17Networks_LH_DorsAttnA_SPL_7zDCbin_17Networks_LH_DorsAttnA_SPL_7,-0.183068115881339,,0.670675013237687,0.039722733379262,,0.916476007302028,-0.009800572581221,,0.702411409381704,-0.035694114070743,,0.688744352335383,-0.037420549362662,,,0.370498326870819,-0.083544861493708
382,,0.4953097107158,-0.063660086708708,17Networks_LH_DorsAttnA_SPL_6,zReHo_17Networks_LH_DorsAttnA_SPL_6gmd_17Networks_LH_DorsAttnA_SPL_6zfALFF_17Networks_LH_DorsAttnA_SPL_6zALFF_17Networks_LH_DorsAttnA_SPL_6zDCwei_17Networks_LH_DorsAttnA_SPL_6zDCbin_17Networks_LH_DorsAttnA_SPL_6,-0.068830060109061,,0.566029937930892,0.05359510532001,,0.727591147465332,-0.032544152207554,,0.793911008387933,-0.024409697584008,,0.5735748170719,0.05255869229755,,,0.560420326732965,-0.054369921226351
383,,0.197742518866599,0.119933928707996,17Networks_LH_DorsAttnA_SPL_5,zReHo_17Networks_LH_DorsAttnA_SPL_5gmd_17Networks_LH_DorsAttnA_SPL_5zfALFF_17Networks_LH_DorsAttnA_SPL_5zALFF_17Networks_LH_DorsAttnA_SPL_5zDCwei_17Networks_LH_DorsAttnA_SPL_5zDCbin_17Networks_LH_DorsAttnA_SPL_5,-0.013041023906095,,0.596900985490381,0.049393798974641,,0.802618904270335,-0.023356352401145,,0.625228525612985,-0.045623879693474,,0.833937093636416,0.019591077374842,,,0.152916031057502,-0.132979596868955
384,,0.185354102389013,0.123301358897682,17Networks_LH_DorsAttnA_SPL_4,zReHo_17Networks_LH_DorsAttnA_SPL_4gmd_17Networks_LH_DorsAttnA_SPL_4zfALFF_17Networks_LH_DorsAttnA_SPL_4zALFF_17Networks_LH_DorsAttnA_SPL_4zDCwei_17Networks_LH_DorsAttnA_SPL_4zDCbin_17Networks_LH_DorsAttnA_SPL_4,0.404712202036641,,0.208155493905592,0.117219493868978,,0.529780248338122,0.058670041401087,,0.701377567557502,0.035824282632327,,0.349751546584219,0.08721892992645,,,0.851262457369498,-0.017521904689883
385,,0.301972298788302,-0.096239708287786,17Networks_LH_DorsAttnA_SPL_3,zReHo_17Networks_LH_DorsAttnA_SPL_3gmd_17Networks_LH_DorsAttnA_SPL_3zfALFF_17Networks_LH_DorsAttnA_SPL_3zALFF_17Networks_LH_DorsAttnA_SPL_3zDCwei_17Networks_LH_DorsAttnA_SPL_3zDCbin_17Networks_LH_DorsAttnA_SPL_3,-0.53419183232147,,0.422805305454422,-0.074803841120768,,0.304988039791378,-0.095644100525094,,0.328807241809688,-0.091069241063224,,0.731878953757827,0.032011469211057,,0.036450365417829,0.024113318661025,-0.208446410535655
