,gmd_sws_rw_fdr,gmd_sws_rw_p,gmd_sws_rw_r,parc_name,parcel_name,sws_rw,zALFF_sws_rw_fdr,zALFF_sws_rw_p,zALFF_sws_rw_r,zDCbin_sws_rw_bonferroni,zDCbin_sws_rw_fdr,zDCbin_sws_rw_p,zDCbin_sws_rw_r,zDCwei_sws_rw_fdr,zDCwei_sws_rw_p,zDCwei_sws_rw_r,zReHo_sws_rw_fdr,zReHo_sws_rw_p,zReHo_sws_rw_r,zfALFF_sws_rw_fdr,zfALFF_sws_rw_p,zfALFF_sws_rw_r
10,,0.426789547974677,0.07416482327175,17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.382030656664864,,0.867372007095748,0.015605537167256,,,0.329600009063366,0.090920708938699,,0.384981636133316,0.081054339593577,,0.574227031131859,0.052469401473468,,0.467531248589138,0.067815846220114
11,,0.552426914246859,0.055480438851002,17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.093145641780042,,0.554523308753583,-0.055188443917494,,,0.957585476331847,0.0049701755781,,0.911345693946259,-0.010404944580984,,0.814772847534032,0.021891011030269,,0.412963690865672,0.076397404819149
12,,0.158507001987477,0.131209198459736,17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,0.742939165340183,,0.684244305459241,0.037991743868613,,,0.118735194218955,0.14502516506804,,0.172015331911679,0.127116208441337,,0.209898765432831,0.116774638508742,0.04886359020199,0.046052144007469,0.184822210993715
13,,0.403057652263848,-0.078023985642975,17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.302310246693384,,0.807619637358446,0.022752772126741,,,0.33619252411062,0.089694280174076,,0.426218027753836,0.074256275444584,,0.409385438196927,0.076982284352345,,0.210394488424981,0.116648620238613
14,,0.53099188712188,-0.058497700616118,17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.406243808375736,,0.944535147308855,0.006501575682322,,,0.173982027607679,0.126540372550219,,0.216760912399428,0.11504871103408,,0.331680701293969,0.09053195508865,,0.175432004352714,0.126118894636583
15,,0.476131187288622,-0.066515385236072,17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,-0.024271390990472,,0.455774547853427,-0.069615049667025,,,0.953281279939004,-0.00547508912011,,0.711719851514967,-0.034525152021782,,0.436142865048978,0.072678012950215,,0.396096006217375,0.079181272104302
16,0.042370283770385,0.024802999169554,0.207464515348969,17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,-0.128329207280699,,0.994281088038841,-0.000669841739026,,,0.078823401793695,-0.163147076180951,,0.060684014629449,-0.173959958249078,,0.483541079561648,-0.065405039178201,,0.470349903360192,0.067388192717588
17,,0.729819187964061,0.032267228866013,lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.612267686690714,,0.299848805297831,0.096661444649672,,,0.123660346695601,0.143137975700826,,0.085168025326921,0.159839925931231,,0.14479811653254,0.135638845471387,,0.632087216494346,0.044722266071585
18,,0.388808361457384,0.08040581519844,lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.697186815578812,,0.166112506041397,0.12887426849796,,,0.198322792581047,0.119779991152951,,0.240973839575663,0.109251016513561,,0.378475986741616,0.082165863670225,,0.056661295069863,0.176709860545675
19,0.041528184780944,0.020193805334261,-0.214532994529281,cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.039864596946732,,0.164089884891332,0.129487324692513,,,0.597415708729629,0.049324602550405,,0.552182907571554,0.055514459968216,,0.983360071912439,-0.001949115801646,,0.813698505750787,0.022020320066525
20,,0.908844573576375,-0.010699741105686,cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.411861700611849,,0.27663089668589,0.101407383876938,,,0.372610278896146,0.083178044249509,,0.367759846560391,0.084022411722359,,0.507830346795784,0.061827454416572,,0.323201429155151,0.092126147452157
21,,0.93563794852905,0.007546587737548,Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.40418870848147,,0.232613548193527,0.111204618933876,,,0.302478527433709,0.09613945662377,,0.370928873231968,0.083469977772195,,0.809019609515101,0.02258396662149,,0.372229415575831,0.083244100792591
22,,0.396418396925529,-0.079127412935908,Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.238494086189848,,0.236060959139024,0.110393198783862,,,0.656102161573262,0.041596887183435,,0.863438143908269,0.016072875707139,,0.403742623742625,0.077910759956199,,0.442691748238184,0.071647777495121
23,,0.68352131748422,0.038083643675782,PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.490279913556221,,0.097609714038056,0.153887007137302,,,0.3346160417166,0.089986155662331,,0.396280610481387,0.079150428590981,,0.772614851148209,0.026999024016492,,0.272998787867127,0.102173654473333
24,,0.296404109198654,-0.097349780845222,PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.455740937202157,,0.098704963817276,0.15339232328903,,,0.250789461406905,0.107016534706541,,0.303995200527426,0.095839757788975,,0.52005654222953,0.060060372782823,,0.141411070581961,0.13678172948001
25,,0.152426188439231,-0.13313700610143,rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.239149357822533,,0.347225362330623,0.087675472169826,,,0.44467780360916,0.071337046849594,,0.470567919522408,0.067355173079904,,0.890026378231416,0.012921341793294,,0.152860788136604,0.132997330031345
26,,0.527563204536532,-0.058985901632979,rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.063611148027907,,0.354560099085202,0.086355578843366,,,0.881231681997938,-0.01396200923311,,0.808616802688902,-0.02263252868704,,0.997250127112718,-0.000322083585651,,0.433110077553436,0.073158092323321
27,,0.925614445833934,0.00872501202753,Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.834067878856099,,0.066326913042525,0.170343465062081,,,0.054653936726603,0.178142491805944,,0.092571954814639,0.156220495234781,,0.162834822697781,0.129870563473638,0.047601704189196,0.03937424914415,0.190765851252125
28,,0.955285439222919,-0.005239967920384,Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.51765094696578,,0.106153043245078,0.150138142550094,,,0.381492953703519,0.081648972370607,,0.439558028316856,0.072139672367112,,0.332863430943441,0.090311668755545,,0.166848850241839,0.128652458842806
29,,0.667597601200621,-0.040117168399329,mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.606606209755414,,0.106644494026468,0.149929792522942,,,0.146384144292558,0.135110617467555,,0.160632366036583,0.130548442954108,,0.342154633316542,0.088598215389323,,0.125263207343796,0.142536309820815
30,,0.557750363598788,-0.054740004510236,mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.436682693176353,,0.203215398754643,0.118494796225749,,,0.347369760156449,0.087649319964049,,0.369926762511782,0.083644354521767,,0.511300706311724,0.061323672703539,,0.131331883948912,0.140310554271485
