parc_name,parcel_name,zALFF_sws_gb_p,zDCbin_sws_gb_p,zDCwei_sws_gb_p,zfALFF_sws_gb_p,zReHo_sws_gb_p,gmd_sws_gb_p,sws_gb
NAC_R,zReHo_NAC_Rgmd_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,0.348187039175861,0.834173568063466,0.685554377991733,0.00497885283106,0.329169115061788,0.437053303608834,2.63911625673274
NAC_L,zReHo_NAC_Lgmd_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,0.747007094085835,0.74714930818818,0.718122197511849,0.070285367522111,0.341069731670815,0.939383399263687,3.56301709824248
GP_R,zReHo_GP_Rgmd_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,0.385313786605481,0.660901258816677,0.635022540602259,0.214310239596169,0.443725617231672,0.955499618649972,3.29477306150223
GP_L,zReHo_GP_Lgmd_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.377192840744914,0.746594089029121,0.808921667409308,0.815745917099398,0.756158586926867,0.461534958846202,3.96614806005581
vCa_R,zReHo_vCa_Rgmd_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,0.206846898223137,0.6860626891582,0.73856245433687,0.373104592580618,0.415535656860097,0.394050620610435,2.81416291176936
vCa_L,zReHo_vCa_Lgmd_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.91344369352783,0.602187921639671,0.695710324886107,0.742735723061637,0.867177144668739,0.431241797274734,4.25249660505872
cHipp_R,zReHo_cHipp_Rgmd_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,0.552657635786164,0.558505050991587,0.609395710461512,0.469076241996649,0.526834863045458,0.061350514540268,2.77782001682164
cHipp_L,zReHo_cHipp_Lgmd_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,0.847028875237012,0.535572381015936,0.558742327292476,0.099369240660723,0.608736050920992,0.298224992645795,2.94767386777293
rHipp_R,zReHo_rHipp_Rgmd_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,0.752278770915776,0.425696599999365,0.329089027466409,0.001624064977059,0.094538193568644,0.178435280563071,1.78166193749032
rHipp_L,zReHo_rHipp_Lgmd_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,0.987336010413216,0.695155533204809,0.461720995435588,0.008664414870801,0.495973347948297,0.648143886490212,3.29699418836292
lAmyg_R,zReHo_lAmyg_Rgmd_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,0.97190474251107,0.981805890462676,0.966537356751908,0.077799807274893,0.296444511876777,0.541490660272586,3.83598296914991
lAmyg_L,zReHo_lAmyg_Lgmd_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,0.595962778352757,0.916685077485944,0.970641027159585,0.014492236482421,0.704948073481449,0.463981537023584,3.66671072998574
mAmyg_R,zReHo_mAmyg_Rgmd_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,0.864532737863244,0.633253163853497,0.590436152503904,0.007570604139116,0.968318811547866,0.519819357200829,3.58393082710846
mAmyg_L,zReHo_mAmyg_Lgmd_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,0.695318319430284,0.658145275827916,0.684628615373716,0.005447449843237,0.169009335976635,0.282281005244247,2.49483000169603
