parc_name,parcel_name,zALFF_sws_ms_r,zDCbin_sws_ms_r,zDCwei_sws_ms_r,zfALFF_sws_ms_r,zReHo_sws_ms_r,gmd_sws_ms_r,sws_ms
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.118811144194092,0.134839126626381,0.151971906774215,0.205232996882057,-0.035084210180621,0.007020776292351,0.582791740588475
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,0.012098496719784,0.122793381403805,0.171017224997858,-0.060876328594261,-0.048338606265285,0.016516462396673,0.213210630658574
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.03386485973463,0.084608350396698,0.139490750622567,0.038654881931357,-0.061564280103797,-0.161066758151712,0.073987804429743
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,0.069972289075857,-0.039115123857637,-0.014212382075787,-0.11845973058098,-0.224080398916437,-0.079268969090738,-0.405164315445722
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.092671665985169,-0.072310065626199,-0.053731375125199,-0.064132697278758,-0.218623694669099,-0.126079437043068,-0.442205603757154
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,0.010252972718219,0.017322883742537,0.062644549236919,-0.091410005311382,-0.143463789054189,0.020110192637006,-0.12454319603089
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,0.052770907558273,-0.003193726567503,0.028991525873398,-0.030700506506668,-0.114505265325577,0.067391890220309,0.000754825252232
NAC_R,zReHo_NAC_Rgmd_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,-0.009086551211269,-0.038739776494086,-0.012974216947299,0.091475006548214,0.025152535029416,0.043513360210019,0.099340357134995
NAC_L,zReHo_NAC_Lgmd_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,-0.014491778195807,0.015046673815279,0.014102708143669,0.08991249196982,-0.04665229118572,-0.014274453798566,0.043643350748675
GP_R,zReHo_GP_Rgmd_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,0.019589414917579,-0.030741348857131,-0.01176923269983,0.003003573340261,-0.11557030109584,0.09174063772771,-0.043747256667251
GP_L,zReHo_GP_Lgmd_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.030383094131841,0.007909239829714,0.023036060158034,0.042657809530319,-0.100310417234418,0.042919000998154,0.046594787413644
vCa_R,zReHo_vCa_Rgmd_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,-0.097436939814091,-0.009558161980474,0.016819158869113,-0.081853194674825,-0.072860550865683,0.030799023144554,-0.214090665321406
vCa_L,zReHo_vCa_Lgmd_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.047459231107484,-0.047860188137646,0.00503397250484,-0.11997731768081,-0.155325903942496,0.102266881688334,-0.168403324460294
cHipp_R,zReHo_cHipp_Rgmd_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,0.118496923339827,-0.000261910223228,-0.002847098555352,0.057066548608757,-0.016815812258391,0.148021699455119,0.303660350366732
cHipp_L,zReHo_cHipp_Lgmd_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,0.027471419914624,0.044827377494009,0.039535658957501,0.183831297265714,0.094625296810628,0.013621403870308,0.403912454312784
rHipp_R,zReHo_rHipp_Rgmd_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,0.104697868156691,0.067055937059179,0.051807463876891,0.210040099578963,-0.002572412988542,0.011019571595494,0.442048527278676
rHipp_L,zReHo_rHipp_Lgmd_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,0.083447000856703,0.057316660486854,0.049928229968618,0.189017881156483,-0.062968729499569,0.142962278064883,0.459703321033972
lAmyg_R,zReHo_lAmyg_Rgmd_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,0.059755319544589,0.153848880669638,0.153937194916003,0.185715134394183,0.007119672823546,0.108799538637736,0.669175740985695
lAmyg_L,zReHo_lAmyg_Lgmd_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,0.049332339564053,0.085804532362395,0.104357926164343,0.176781573274681,0.024273992003374,0.024612105147564,0.46516246851641
mAmyg_R,zReHo_mAmyg_Rgmd_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,-0.043238342934152,0.073750397845552,0.066560578724231,0.186646070781123,0.091549940257188,0.166689680761303,0.541958325435245
mAmyg_L,zReHo_mAmyg_Lgmd_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,-0.133427415838975,0.089338832986031,0.060493206569558,0.194004106941925,0.165724944954072,0.024344645630395,0.400478321243006
17Networks_RH_TempPar_10,zReHo_17Networks_RH_TempPar_10gmd_17Networks_RH_TempPar_10zfALFF_17Networks_RH_TempPar_10zALFF_17Networks_RH_TempPar_10zDCwei_17Networks_RH_TempPar_10zDCbin_17Networks_RH_TempPar_10,0.054381558852732,-0.041931268120209,-0.050211638478323,0.061402507571356,-0.020423029080759,0.027554318710327,0.030772449455124
17Networks_RH_TempPar_9,zReHo_17Networks_RH_TempPar_9gmd_17Networks_RH_TempPar_9zfALFF_17Networks_RH_TempPar_9zALFF_17Networks_RH_TempPar_9zDCwei_17Networks_RH_TempPar_9zDCbin_17Networks_RH_TempPar_9,-0.007836822226129,-0.039281514486215,-0.019579211086106,-0.043340610457031,0.018426928419095,-0.105246390957902,-0.196857620794288
17Networks_RH_TempPar_8,zReHo_17Networks_RH_TempPar_8gmd_17Networks_RH_TempPar_8zfALFF_17Networks_RH_TempPar_8zALFF_17Networks_RH_TempPar_8zDCwei_17Networks_RH_TempPar_8zDCbin_17Networks_RH_TempPar_8,0.112075304172773,-0.131847310377097,-0.135291936097642,0.057955221217529,-0.019268655514303,-0.039548485435222,-0.155925862033962
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7gmd_17Networks_RH_TempPar_7zfALFF_17Networks_RH_TempPar_7zALFF_17Networks_RH_TempPar_7zDCwei_17Networks_RH_TempPar_7zDCbin_17Networks_RH_TempPar_7,0.041348846345166,-0.097601565506787,-0.089852631488819,0.146038062594281,0.184782034628861,-0.008253355013863,0.176461391558839
17Networks_RH_TempPar_6,zReHo_17Networks_RH_TempPar_6gmd_17Networks_RH_TempPar_6zfALFF_17Networks_RH_TempPar_6zALFF_17Networks_RH_TempPar_6zDCwei_17Networks_RH_TempPar_6zDCbin_17Networks_RH_TempPar_6,0.053144071276921,-0.083548391638836,-0.054597037719845,0.039004111172264,0.042415914357198,-0.103387022938601,-0.106968355490899
17Networks_RH_TempPar_5,zReHo_17Networks_RH_TempPar_5gmd_17Networks_RH_TempPar_5zfALFF_17Networks_RH_TempPar_5zALFF_17Networks_RH_TempPar_5zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,-0.147459086163049,-0.212174295073436,-0.195652984641106,0.0167486027438,0.142541533302481,0.005139192377751,-0.390857037453559
17Networks_RH_TempPar_4,zReHo_17Networks_RH_TempPar_4gmd_17Networks_RH_TempPar_4zfALFF_17Networks_RH_TempPar_4zALFF_17Networks_RH_TempPar_4zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,-0.165075360391367,-0.236495161535628,-0.240673460941512,0.034705159137772,0.082126101763337,-0.01076651254005,-0.536179234507448
17Networks_RH_TempPar_3,zReHo_17Networks_RH_TempPar_3gmd_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3,-0.002367057236173,-0.129556898582708,-0.129407013076294,0.02090125010744,-0.060673425923748,0.014926937103728,-0.286176207607755
17Networks_RH_TempPar_2,zReHo_17Networks_RH_TempPar_2gmd_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2,-0.033652413931223,-0.015615860599283,-0.007888809166319,0.057890895545512,-0.000617404638482,0.078666134736654,0.078782541946859
17Networks_RH_TempPar_1,zReHo_17Networks_RH_TempPar_1gmd_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1,-0.091209710270639,0.122293879591498,0.10679804336524,0.040039557712176,0.034105224488568,0.181743567499349,0.393770562386192
17Networks_RH_DefaultC_PHC_2,zReHo_17Networks_RH_DefaultC_PHC_2gmd_17Networks_RH_DefaultC_PHC_2zfALFF_17Networks_RH_DefaultC_PHC_2zALFF_17Networks_RH_DefaultC_PHC_2zDCwei_17Networks_RH_DefaultC_PHC_2zDCbin_17Networks_RH_DefaultC_PHC_2,0.035826200626425,-0.070940729481545,-0.081526194909207,0.036240255018367,0.08687751361461,-0.038957980963111,-0.032480936094461
17Networks_RH_DefaultC_PHC_1,zReHo_17Networks_RH_DefaultC_PHC_1gmd_17Networks_RH_DefaultC_PHC_1zfALFF_17Networks_RH_DefaultC_PHC_1zALFF_17Networks_RH_DefaultC_PHC_1zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1,-0.025732317539784,-0.029039023016316,-0.045765806649189,0.078929519055247,0.001906056482995,0.182972929866406,0.163271358199359
17Networks_RH_DefaultC_Rsp_2,zReHo_17Networks_RH_DefaultC_Rsp_2gmd_17Networks_RH_DefaultC_Rsp_2zfALFF_17Networks_RH_DefaultC_Rsp_2zALFF_17Networks_RH_DefaultC_Rsp_2zDCwei_17Networks_RH_DefaultC_Rsp_2zDCbin_17Networks_RH_DefaultC_Rsp_2,0.040298215597806,-0.002766422666259,0.030245336401862,-0.015020692634095,-0.010964791456596,0.04236571315052,0.084157358393238
17Networks_RH_DefaultC_Rsp_1,zReHo_17Networks_RH_DefaultC_Rsp_1gmd_17Networks_RH_DefaultC_Rsp_1zfALFF_17Networks_RH_DefaultC_Rsp_1zALFF_17Networks_RH_DefaultC_Rsp_1zDCwei_17Networks_RH_DefaultC_Rsp_1zDCbin_17Networks_RH_DefaultC_Rsp_1,0.063409198493011,-0.037186110636263,-0.032857257132723,0.068153045700791,-0.00481272840102,-0.042801906316457,0.013904241707339
17Networks_RH_DefaultC_IPL_2,zReHo_17Networks_RH_DefaultC_IPL_2gmd_17Networks_RH_DefaultC_IPL_2zfALFF_17Networks_RH_DefaultC_IPL_2zALFF_17Networks_RH_DefaultC_IPL_2zDCwei_17Networks_RH_DefaultC_IPL_2zDCbin_17Networks_RH_DefaultC_IPL_2,-0.04317995421314,-0.049791614002487,-0.028184460502631,-0.043335821035244,-0.131752677412491,0.102884793817047,-0.193359733348946
17Networks_RH_DefaultC_IPL_1,zReHo_17Networks_RH_DefaultC_IPL_1gmd_17Networks_RH_DefaultC_IPL_1zfALFF_17Networks_RH_DefaultC_IPL_1zALFF_17Networks_RH_DefaultC_IPL_1zDCwei_17Networks_RH_DefaultC_IPL_1zDCbin_17Networks_RH_DefaultC_IPL_1,-0.044091210683243,-0.122727949750424,-0.100800150933039,-0.060809539558745,-0.078055486418427,-0.021661697901916,-0.428146035245794
17Networks_RH_DefaultB_PFCv_3,zReHo_17Networks_RH_DefaultB_PFCv_3gmd_17Networks_RH_DefaultB_PFCv_3zfALFF_17Networks_RH_DefaultB_PFCv_3zALFF_17Networks_RH_DefaultB_PFCv_3zDCwei_17Networks_RH_DefaultB_PFCv_3zDCbin_17Networks_RH_DefaultB_PFCv_3,0.005454773952604,0.026321839600264,0.036635434849336,-0.010426823544955,0.010703203216655,0.080536717950975,0.149225146024879
17Networks_RH_DefaultB_PFCv_2,zReHo_17Networks_RH_DefaultB_PFCv_2gmd_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2,-0.143973502324464,0.03385095143467,0.037368682777202,-0.066493426597513,0.078784708929185,-0.03701949215003,-0.09748207793095
17Networks_RH_DefaultB_PFCv_1,zReHo_17Networks_RH_DefaultB_PFCv_1gmd_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1,-0.042101520639767,0.07460734887955,0.072714556620323,0.191739231466268,0.0410678628843,0.085849853911648,0.423877333122322
17Networks_RH_DefaultB_PFCd_5,zReHo_17Networks_RH_DefaultB_PFCd_5gmd_17Networks_RH_DefaultB_PFCd_5zfALFF_17Networks_RH_DefaultB_PFCd_5zALFF_17Networks_RH_DefaultB_PFCd_5zDCwei_17Networks_RH_DefaultB_PFCd_5zDCbin_17Networks_RH_DefaultB_PFCd_5,-0.025862615169343,-0.101626239494274,-0.125845206967701,-0.012290833435961,-0.12690928811069,-0.109018707002555,-0.501552890180524
17Networks_RH_DefaultB_PFCd_4,zReHo_17Networks_RH_DefaultB_PFCd_4gmd_17Networks_RH_DefaultB_PFCd_4zfALFF_17Networks_RH_DefaultB_PFCd_4zALFF_17Networks_RH_DefaultB_PFCd_4zDCwei_17Networks_RH_DefaultB_PFCd_4zDCbin_17Networks_RH_DefaultB_PFCd_4,0.039434645422072,0.007638150571982,0.017150610420087,0.003540557539765,-0.05768401342804,0.06140771564616,0.071487666172026
17Networks_RH_DefaultB_PFCd_3,zReHo_17Networks_RH_DefaultB_PFCd_3gmd_17Networks_RH_DefaultB_PFCd_3zfALFF_17Networks_RH_DefaultB_PFCd_3zALFF_17Networks_RH_DefaultB_PFCd_3zDCwei_17Networks_RH_DefaultB_PFCd_3zDCbin_17Networks_RH_DefaultB_PFCd_3,0.046249802525137,0.02067946050479,0.014218626182706,-0.202582391090639,-0.046298464110663,0.044209431150626,-0.123523534838043
17Networks_RH_DefaultB_PFCd_2,zReHo_17Networks_RH_DefaultB_PFCd_2gmd_17Networks_RH_DefaultB_PFCd_2zfALFF_17Networks_RH_DefaultB_PFCd_2zALFF_17Networks_RH_DefaultB_PFCd_2zDCwei_17Networks_RH_DefaultB_PFCd_2zDCbin_17Networks_RH_DefaultB_PFCd_2,0.156407829225302,0.053490834183651,0.057241773790546,-0.006566995380611,-0.010549564350399,0.13019444300012,0.380218320468609
17Networks_RH_DefaultB_PFCd_1,zReHo_17Networks_RH_DefaultB_PFCd_1gmd_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1,0.079028759663806,0.094258531128382,0.084909397966337,-0.102235588792555,-0.116623958181933,0.151459218192244,0.190796359976281
17Networks_RH_DefaultB_AntTemp_1,zReHo_17Networks_RH_DefaultB_AntTemp_1gmd_17Networks_RH_DefaultB_AntTemp_1zfALFF_17Networks_RH_DefaultB_AntTemp_1zALFF_17Networks_RH_DefaultB_AntTemp_1zDCwei_17Networks_RH_DefaultB_AntTemp_1zDCbin_17Networks_RH_DefaultB_AntTemp_1,0.018086970948725,0.009782461731969,0.003966827594961,-0.040317809619573,-0.093174941911643,0.075791594563053,-0.025864896692508
17Networks_RH_DefaultB_Temp_2,zReHo_17Networks_RH_DefaultB_Temp_2gmd_17Networks_RH_DefaultB_Temp_2zfALFF_17Networks_RH_DefaultB_Temp_2zALFF_17Networks_RH_DefaultB_Temp_2zDCwei_17Networks_RH_DefaultB_Temp_2zDCbin_17Networks_RH_DefaultB_Temp_2,-0.131412213793251,-0.109257625919231,-0.102650547476556,-0.013628135237304,-0.019479920660751,-0.016575616218846,-0.393004059305939
17Networks_RH_DefaultB_Temp_1,zReHo_17Networks_RH_DefaultB_Temp_1gmd_17Networks_RH_DefaultB_Temp_1zfALFF_17Networks_RH_DefaultB_Temp_1zALFF_17Networks_RH_DefaultB_Temp_1zDCwei_17Networks_RH_DefaultB_Temp_1zDCbin_17Networks_RH_DefaultB_Temp_1,-0.088652953930244,-0.014858727989771,-0.064944302477149,-0.048432689897472,0.014657763190393,0.044878755871886,-0.157352155232357
17Networks_RH_DefaultA_PFCm_6,zReHo_17Networks_RH_DefaultA_PFCm_6gmd_17Networks_RH_DefaultA_PFCm_6zfALFF_17Networks_RH_DefaultA_PFCm_6zALFF_17Networks_RH_DefaultA_PFCm_6zDCwei_17Networks_RH_DefaultA_PFCm_6zDCbin_17Networks_RH_DefaultA_PFCm_6,0.128431055185028,0.030445588245362,0.025395054780667,-0.107248374442193,-0.193496217594986,-0.026606248772808,-0.14307914259893
17Networks_RH_DefaultA_PFCm_5,zReHo_17Networks_RH_DefaultA_PFCm_5gmd_17Networks_RH_DefaultA_PFCm_5zfALFF_17Networks_RH_DefaultA_PFCm_5zALFF_17Networks_RH_DefaultA_PFCm_5zDCwei_17Networks_RH_DefaultA_PFCm_5zDCbin_17Networks_RH_DefaultA_PFCm_5,-0.010193821758234,0.034924797312446,0.037872581837404,-0.1521308760612,0.160690056210226,-0.06063062971445,0.010532107826192
