parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
17Networks_LH_ContB_Temp_2,zDCwei_17Networks_LH_ContB_Temp_2,,,,0.041309255498928,,,0.041309255498928
17Networks_LH_SalVentAttnA_FrMed_1,zDCwei_17Networks_LH_SalVentAttnA_FrMed_1zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0,0,0.0292415330267,0.026109301883924,0,0,0.055350834910624
17Networks_LH_SalVentAttnA_ParMed_1,zDCwei_17Networks_LH_SalVentAttnA_ParMed_1zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,0,0,0.037427700577704,0.041309255498928,0,0,0.078736956076632
17Networks_LH_SalVentAttnA_ParOper_1,zDCwei_17Networks_LH_SalVentAttnA_ParOper_1,,,,0.048666690964411,,,0.048666690964411
17Networks_LH_DorsAttnB_PostC_1,zDCwei_17Networks_LH_DorsAttnB_PostC_1zDCbin_17Networks_LH_DorsAttnB_PostC_1,0,0,0.0292415330267,0.035628445120417,0,0,0.064869978147117
17Networks_LH_DorsAttnA_TempOcc_2,zDCwei_17Networks_LH_DorsAttnA_TempOcc_2zDCbin_17Networks_LH_DorsAttnA_TempOcc_2,0,0,0.04961052048189,0.045537330800247,0,0,0.095147851282137
17Networks_RH_TempPar_9,zDCbin_17Networks_RH_TempPar_9,,,0.049053735370639,,,,0.049053735370639
17Networks_RH_ContC_Cingp_2,zDCbin_17Networks_RH_ContC_Cingp_2,,,0.043943963729318,,,,0.043943963729318
17Networks_LH_ContC_Cingp_1,zDCbin_17Networks_LH_ContC_Cingp_1,,,0.048666690964411,,,,0.048666690964411
17Networks_LH_DorsAttnB_PostC_4,zDCbin_17Networks_LH_DorsAttnB_PostC_4,,,0.04447808578329,,,,0.04447808578329
