parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
17Networks_RH_SomMotA_11,gmd_17Networks_RH_SomMotA_11,0.032872898931033,,,,,,0.032872898931033
17Networks_RH_SomMotA_10,gmd_17Networks_RH_SomMotA_10,0.04447808578329,,,,,,0.04447808578329
17Networks_RH_SomMotA_7,gmd_17Networks_RH_SomMotA_7zfALFF_17Networks_RH_SomMotA_7zDCwei_17Networks_RH_SomMotA_7,0.046238479196235,0,0,0.048666690964411,0.03444788297338,0,0.129353053134026
17Networks_RH_SomMotA_4,gmd_17Networks_RH_SomMotA_4zfALFF_17Networks_RH_SomMotA_4,0.044350964621572,0,0,0,0.0292415330267,0,0.073592497648272
17Networks_RH_VisPeri_ExStrSup_3,gmd_17Networks_RH_VisPeri_ExStrSup_3,0.04447808578329,,,,,,0.04447808578329
17Networks_RH_VisCent_ExStr_9,gmd_17Networks_RH_VisCent_ExStr_9,0.041309255498928,,,,,,0.041309255498928
17Networks_RH_VisCent_ExStr_8,gmd_17Networks_RH_VisCent_ExStr_8,0.03176354381959,,,,,,0.03176354381959
17Networks_LH_DefaultB_PFCv_4,gmd_17Networks_LH_DefaultB_PFCv_4,0.04447808578329,,,,,,0.04447808578329
17Networks_LH_LimbicB_OFC_1,gmd_17Networks_LH_LimbicB_OFC_1,0.043235049428021,,,,,,0.043235049428021
17Networks_LH_DorsAttnB_PostC_6,gmd_17Networks_LH_DorsAttnB_PostC_6,0.042786343995475,,,,,,0.042786343995475
17Networks_LH_SomMotA_11,gmd_17Networks_LH_SomMotA_11,0.026109301883924,,,,,,0.026109301883924
lPFtha_L,zfALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0,0,0.043909520788104,0.035961099656752,0.04447808578329,0,0.124348706228146
cTtha_L,zfALFF_cTtha_L,,,,,0.04961052048189,,0.04961052048189
Otha_L,zfALFF_Otha_L,,,,,0.041309255498928,,0.041309255498928
