parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_RH_SomMotB_S2_1,zfALFF_17Networks_RH_SomMotB_S2_1zALFF_17Networks_RH_SomMotB_S2_1zDCwei_17Networks_RH_SomMotB_S2_1zDCbin_17Networks_RH_SomMotB_S2_1,0,0.015838976951466,0.024345739320034,0.014564836062952,0.00241216739247,0,0.057161719726922
17Networks_RH_SomMotB_Ins_1,zfALFF_17Networks_RH_SomMotB_Ins_1zALFF_17Networks_RH_SomMotB_Ins_1,0,0.010475584100582,0,0,0.029929561754879,0,0.040405145855461
17Networks_RH_SomMotA_14,zfALFF_17Networks_RH_SomMotA_14zALFF_17Networks_RH_SomMotA_14,0,0.010239142182882,0,0,0.035875785426107,0,0.046114927608989
17Networks_RH_SomMotA_12,zfALFF_17Networks_RH_SomMotA_12,,,,,0.014564836062952,,0.014564836062952
17Networks_RH_SomMotA_5,zfALFF_17Networks_RH_SomMotA_5,,,,,0.048707177961764,,0.048707177961764
17Networks_RH_SomMotA_3,zfALFF_17Networks_RH_SomMotA_3,,,,,0.019741835438349,,0.019741835438349
17Networks_RH_SomMotA_2,zfALFF_17Networks_RH_SomMotA_2zALFF_17Networks_RH_SomMotA_2,0,0.030358802440932,0,0,0.006126253442846,0,0.036485055883778
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,,,,0.010239142182882,,0.010239142182882
17Networks_LH_DefaultC_PHC_1,zfALFF_17Networks_LH_DefaultC_PHC_1,,,,,0.042459744648087,,0.042459744648087
17Networks_LH_DefaultB_PFCd_1,zfALFF_17Networks_LH_DefaultB_PFCd_1,,,,,0.015864959883771,,0.015864959883771
17Networks_LH_DefaultB_IPL_1,zfALFF_17Networks_LH_DefaultB_IPL_1,,,,,0.044448010809187,,0.044448010809187
17Networks_LH_DefaultB_Temp_1,zfALFF_17Networks_LH_DefaultB_Temp_1,,,,,0.028508110230768,,0.028508110230768
17Networks_LH_DefaultA_PFCm_6,zfALFF_17Networks_LH_DefaultA_PFCm_6,,,,,0.023749223048323,,0.023749223048323
17Networks_LH_DefaultA_PFCm_3,zfALFF_17Networks_LH_DefaultA_PFCm_3,,,,,0.041203138493178,,0.041203138493178
17Networks_LH_DefaultA_PFCd_1,zfALFF_17Networks_LH_DefaultA_PFCd_1,,,,,0.014564836062952,,0.014564836062952
17Networks_LH_ContB_PFCmp_1,zfALFF_17Networks_LH_ContB_PFCmp_1,,,,,0.024345739320034,,0.024345739320034
