parc_name,parcel_name,zALFF_sws_rs_p,zDCbin_sws_rs_p,zDCwei_sws_rs_p,zfALFF_sws_rs_p,zReHo_sws_rs_p,gmd_sws_rs_p,sws_rs
rHipp_L,zReHo_rHipp_Lgmd_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,0.552184900295565,0.118697469472031,0.09301091009398,0.000148337426315,0.062759157691027,0.429325403048013,1.25612617802693
lAmyg_R,zReHo_lAmyg_Rgmd_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,0.448532373285138,0.095765091305175,0.0956115498254,0.057444665295763,0.052256997182338,0.900559938715076,1.65017061560889
lAmyg_L,zReHo_lAmyg_Lgmd_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,0.656169982225415,0.250985587045632,0.218638447335212,0.081221057843027,0.144306893486309,0.109583523097071,1.46090549103267
mAmyg_R,zReHo_mAmyg_Rgmd_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,0.727024684943675,0.062726266771859,0.042414592113387,0.009034387300574,0.143206691766529,0.870118393909939,1.85452501680596
mAmyg_L,zReHo_mAmyg_Lgmd_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,0.749153368585622,0.154061947788994,0.13584998341073,0.000544958168613,0.018754815635777,0.216175385331555,1.27454045892129
17Networks_RH_TempPar_10,zReHo_17Networks_RH_TempPar_10gmd_17Networks_RH_TempPar_10zfALFF_17Networks_RH_TempPar_10zALFF_17Networks_RH_TempPar_10zDCwei_17Networks_RH_TempPar_10zDCbin_17Networks_RH_TempPar_10,0.179107313771986,0.122005217680706,0.155688493196514,0.40770997712499,0.445768512369127,0.696808616232704,2.00708813037603
17Networks_RH_TempPar_9,zReHo_17Networks_RH_TempPar_9gmd_17Networks_RH_TempPar_9zfALFF_17Networks_RH_TempPar_9zALFF_17Networks_RH_TempPar_9zDCwei_17Networks_RH_TempPar_9zDCbin_17Networks_RH_TempPar_9,0.050980345390874,0.06044135124274,0.118630037031215,0.102454013386808,0.998522567009578,0.287168759682876,1.61819707374409
17Networks_RH_TempPar_8,zReHo_17Networks_RH_TempPar_8gmd_17Networks_RH_TempPar_8zfALFF_17Networks_RH_TempPar_8zALFF_17Networks_RH_TempPar_8zDCwei_17Networks_RH_TempPar_8zDCbin_17Networks_RH_TempPar_8,0.555716804197355,0.102602904635659,0.11411306625015,0.099136446708346,0.615323330399451,0.386854395112792,1.87374694730375
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7gmd_17Networks_RH_TempPar_7zfALFF_17Networks_RH_TempPar_7zALFF_17Networks_RH_TempPar_7zDCwei_17Networks_RH_TempPar_7zDCbin_17Networks_RH_TempPar_7,0.038545914125774,0.080941101311075,0.102738466701771,0.028620256028073,0.855708191531895,0.53291521298034,1.63946914267893
17Networks_RH_TempPar_6,zReHo_17Networks_RH_TempPar_6gmd_17Networks_RH_TempPar_6zfALFF_17Networks_RH_TempPar_6zALFF_17Networks_RH_TempPar_6zDCwei_17Networks_RH_TempPar_6zDCbin_17Networks_RH_TempPar_6,0.040984887918697,0.226505567936482,0.344413196077139,0.162394572986501,0.611106267672491,0.381140227544612,1.76654472013592
17Networks_RH_TempPar_5,zReHo_17Networks_RH_TempPar_5gmd_17Networks_RH_TempPar_5zfALFF_17Networks_RH_TempPar_5zALFF_17Networks_RH_TempPar_5zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,0.002228124312669,0.085181445487235,0.087974203197337,0.173340503595253,0.339652898489297,0.972991821086242,1.66136899616803
17Networks_RH_TempPar_4,zReHo_17Networks_RH_TempPar_4gmd_17Networks_RH_TempPar_4zfALFF_17Networks_RH_TempPar_4zALFF_17Networks_RH_TempPar_4zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,0.000158414352494,0.00290275838452,0.00477345531323,0.036742708455981,0.604555446479089,0.704909890724202,1.35404267370952
17Networks_RH_TempPar_3,zReHo_17Networks_RH_TempPar_3gmd_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3,0.019465304933834,0.208493806673392,0.203847325223776,0.02766517026385,0.287174657096795,0.740799210767471,1.48744547495912
17Networks_RH_TempPar_2,zReHo_17Networks_RH_TempPar_2gmd_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2,0.045125864480927,0.675006838839251,0.715308012418956,0.17779697605224,0.398417142302081,0.882716197880976,2.89437103197443
17Networks_RH_TempPar_1,zReHo_17Networks_RH_TempPar_1gmd_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1,0.38603441415265,0.935949392360338,0.79730942098646,0.543889051130279,0.70974263628801,0.124571052019259,3.497495966937
17Networks_RH_DefaultC_PHC_2,zReHo_17Networks_RH_DefaultC_PHC_2gmd_17Networks_RH_DefaultC_PHC_2zfALFF_17Networks_RH_DefaultC_PHC_2zALFF_17Networks_RH_DefaultC_PHC_2zDCwei_17Networks_RH_DefaultC_PHC_2zDCbin_17Networks_RH_DefaultC_PHC_2,0.210238449206974,0.273382346309956,0.360121516963351,0.248638775992848,0.859989421930061,0.49990545761768,2.45227596802087
17Networks_RH_DefaultC_PHC_1,zReHo_17Networks_RH_DefaultC_PHC_1gmd_17Networks_RH_DefaultC_PHC_1zfALFF_17Networks_RH_DefaultC_PHC_1zALFF_17Networks_RH_DefaultC_PHC_1zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1,0.381136816321688,0.235359510413493,0.4063540763898,0.391033418342148,0.604591586011886,0.257762603829418,2.27623801130843
17Networks_RH_DefaultC_Rsp_2,zReHo_17Networks_RH_DefaultC_Rsp_2gmd_17Networks_RH_DefaultC_Rsp_2zfALFF_17Networks_RH_DefaultC_Rsp_2zALFF_17Networks_RH_DefaultC_Rsp_2zDCwei_17Networks_RH_DefaultC_Rsp_2zDCbin_17Networks_RH_DefaultC_Rsp_2,0.945220448806077,0.354814915973196,0.285443162087576,0.563269669128542,0.597544301937748,0.854398062333821,3.60069056026696
17Networks_RH_DefaultC_Rsp_1,zReHo_17Networks_RH_DefaultC_Rsp_1gmd_17Networks_RH_DefaultC_Rsp_1zfALFF_17Networks_RH_DefaultC_Rsp_1zALFF_17Networks_RH_DefaultC_Rsp_1zDCwei_17Networks_RH_DefaultC_Rsp_1zDCbin_17Networks_RH_DefaultC_Rsp_1,0.936337504940145,0.477995609645844,0.369415227210208,0.910744576220169,0.781485595073221,0.665991745336041,4.14197025842563
17Networks_RH_DefaultC_IPL_2,zReHo_17Networks_RH_DefaultC_IPL_2gmd_17Networks_RH_DefaultC_IPL_2zfALFF_17Networks_RH_DefaultC_IPL_2zALFF_17Networks_RH_DefaultC_IPL_2zDCwei_17Networks_RH_DefaultC_IPL_2zDCbin_17Networks_RH_DefaultC_IPL_2,0.492513428723055,0.696940266526816,0.979701203672997,0.26869608389389,0.315618373457232,0.083136358196894,2.83660571447088
17Networks_RH_DefaultC_IPL_1,zReHo_17Networks_RH_DefaultC_IPL_1gmd_17Networks_RH_DefaultC_IPL_1zfALFF_17Networks_RH_DefaultC_IPL_1zALFF_17Networks_RH_DefaultC_IPL_1zDCwei_17Networks_RH_DefaultC_IPL_1zDCbin_17Networks_RH_DefaultC_IPL_1,0.001571787687998,0.224602527613397,0.433178770707858,0.018321802731541,0.702351358158542,0.759246112321903,2.13927235922124
17Networks_RH_DefaultB_PFCv_3,zReHo_17Networks_RH_DefaultB_PFCv_3gmd_17Networks_RH_DefaultB_PFCv_3zfALFF_17Networks_RH_DefaultB_PFCv_3zALFF_17Networks_RH_DefaultB_PFCv_3zDCwei_17Networks_RH_DefaultB_PFCv_3zDCbin_17Networks_RH_DefaultB_PFCv_3,0.030140951581126,0.197873344587951,0.291163283896641,0.006333169216651,0.20044038890833,0.297900956302885,1.02385209449358
17Networks_RH_DefaultB_PFCv_2,zReHo_17Networks_RH_DefaultB_PFCv_2gmd_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2,0.09903925248905,0.19067561414079,0.249295819158947,0.028578714267298,0.78817952608183,0.491061457700115,1.84683038383803
17Networks_RH_DefaultB_PFCv_1,zReHo_17Networks_RH_DefaultB_PFCv_1gmd_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1,0.176390305545556,0.531052258624629,0.687656852298502,0.848948586861203,0.539675478686057,0.819257549952707,3.60298103196865
17Networks_RH_DefaultB_PFCd_5,zReHo_17Networks_RH_DefaultB_PFCd_5gmd_17Networks_RH_DefaultB_PFCd_5zfALFF_17Networks_RH_DefaultB_PFCd_5zALFF_17Networks_RH_DefaultB_PFCd_5zDCwei_17Networks_RH_DefaultB_PFCd_5zDCbin_17Networks_RH_DefaultB_PFCd_5,0.393598878616457,0.367233530260009,0.350603139926847,0.4891320497737,0.320531943354044,0.389914097976573,2.31101363990763
17Networks_RH_DefaultB_PFCd_4,zReHo_17Networks_RH_DefaultB_PFCd_4gmd_17Networks_RH_DefaultB_PFCd_4zfALFF_17Networks_RH_DefaultB_PFCd_4zALFF_17Networks_RH_DefaultB_PFCd_4zDCwei_17Networks_RH_DefaultB_PFCd_4zDCbin_17Networks_RH_DefaultB_PFCd_4,0.046112437540584,0.644404282287483,0.948061139167021,0.987426075594172,0.804054626613291,0.882954287192457,4.31301284839501
17Networks_RH_DefaultB_PFCd_3,zReHo_17Networks_RH_DefaultB_PFCd_3gmd_17Networks_RH_DefaultB_PFCd_3zfALFF_17Networks_RH_DefaultB_PFCd_3zALFF_17Networks_RH_DefaultB_PFCd_3zDCwei_17Networks_RH_DefaultB_PFCd_3zDCbin_17Networks_RH_DefaultB_PFCd_3,0.209077387461918,0.615004036855161,0.585717886990556,0.007095152250703,0.245784006576573,0.898928166649101,2.56160663678401
17Networks_RH_DefaultB_PFCd_2,zReHo_17Networks_RH_DefaultB_PFCd_2gmd_17Networks_RH_DefaultB_PFCd_2zfALFF_17Networks_RH_DefaultB_PFCd_2zALFF_17Networks_RH_DefaultB_PFCd_2zDCwei_17Networks_RH_DefaultB_PFCd_2zDCbin_17Networks_RH_DefaultB_PFCd_2,0.003415151560325,0.993303175280746,0.864219718570079,0.957785842940396,0.106653062492205,0.126409687062833,3.05178663790658
17Networks_RH_DefaultB_PFCd_1,zReHo_17Networks_RH_DefaultB_PFCd_1gmd_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1,0.215600520233101,0.956401261728124,0.777664599011993,0.090643462345217,0.721587895339541,0.627697332016408,3.38959507067438
