,gmd_sws_ms_fdr,gmd_sws_ms_p,gmd_sws_ms_r,parc_name,parcel_name,sws_ms,zALFF_sws_ms_fdr,zALFF_sws_ms_p,zALFF_sws_ms_r,zDCbin_sws_ms_fdr,zDCbin_sws_ms_p,zDCbin_sws_ms_r,zDCwei_sws_ms_fdr,zDCwei_sws_ms_p,zDCwei_sws_ms_r,zReHo_sws_ms_bonferroni,zReHo_sws_ms_fdr,zReHo_sws_ms_p,zReHo_sws_ms_r,zfALFF_sws_ms_fdr,zfALFF_sws_ms_p,zfALFF_sws_ms_r
290,,0.97589033852208,-0.002824304231559,17Networks_LH_DefaultA_PFCm_3,zReHo_17Networks_LH_DefaultA_PFCm_3gmd_17Networks_LH_DefaultA_PFCm_3zfALFF_17Networks_LH_DefaultA_PFCm_3zALFF_17Networks_LH_DefaultA_PFCm_3zDCwei_17Networks_LH_DefaultA_PFCm_3zDCbin_17Networks_LH_DefaultA_PFCm_3,-0.449338681626113,,0.207433089627866,-0.117404621180396,,0.593499362525449,-0.049851770119831,,0.555532420802574,-0.055048080506206,,,0.871177459779235,-0.015153820055663,0.049179098733603,0.023693395346478,-0.209056085532458
291,,0.099014497437139,-0.153253302730476,17Networks_LH_DefaultA_PFCm_2,zReHo_17Networks_LH_DefaultA_PFCm_2gmd_17Networks_LH_DefaultA_PFCm_2zfALFF_17Networks_LH_DefaultA_PFCm_2zALFF_17Networks_LH_DefaultA_PFCm_2zDCwei_17Networks_LH_DefaultA_PFCm_2zDCbin_17Networks_LH_DefaultA_PFCm_2,-0.233977125367367,,0.43796187861326,-0.072390980718799,,0.726612695585641,0.032665853201057,,0.730678237598096,0.032160532367324,,,0.88117604346602,0.01396859819237,,0.350257027803827,-0.087127825678843
292,,0.302222881928292,-0.096190069940448,17Networks_LH_DefaultA_PFCm_1,zReHo_17Networks_LH_DefaultA_PFCm_1gmd_17Networks_LH_DefaultA_PFCm_1zfALFF_17Networks_LH_DefaultA_PFCm_1zALFF_17Networks_LH_DefaultA_PFCm_1zDCwei_17Networks_LH_DefaultA_PFCm_1zDCbin_17Networks_LH_DefaultA_PFCm_1,-0.151640617352176,,0.242211253864447,-0.108965891724318,,0.243035492027684,0.108776531653621,,0.228710577701205,0.11213349399751,,,0.669681125751069,-0.039850044156534,,0.170562772642523,-0.127544637182007
293,,0.669447409004656,-0.039879992422068,17Networks_LH_DefaultA_pCunPCC_7,zReHo_17Networks_LH_DefaultA_pCunPCC_7gmd_17Networks_LH_DefaultA_pCunPCC_7zfALFF_17Networks_LH_DefaultA_pCunPCC_7zALFF_17Networks_LH_DefaultA_pCunPCC_7zDCwei_17Networks_LH_DefaultA_pCunPCC_7zDCbin_17Networks_LH_DefaultA_pCunPCC_7,-0.83956924266354,,0.08358900169653,-0.16064407536945,,0.083438400193131,-0.160721404381247,,0.14148905696917,-0.136755182655164,,,0.050109619814447,-0.181553265465975,,0.084821603766968,-0.160015322369636
294,,0.600871571621171,-0.048860705923503,17Networks_LH_DefaultA_pCunPCC_6,zReHo_17Networks_LH_DefaultA_pCunPCC_6gmd_17Networks_LH_DefaultA_pCunPCC_6zfALFF_17Networks_LH_DefaultA_pCunPCC_6zALFF_17Networks_LH_DefaultA_pCunPCC_6zDCwei_17Networks_LH_DefaultA_pCunPCC_6zDCbin_17Networks_LH_DefaultA_pCunPCC_6,-0.533706240128387,0.049179098733603,0.028970877485007,-0.201982852003684,,0.356331319776204,-0.086039406881922,,0.310754706387747,-0.094515828450331,,,0.979685461713987,0.002379624297535,,0.261311921615093,-0.104687071166482
295,,0.245708427233934,-0.108165499424799,17Networks_LH_DefaultA_pCunPCC_5,zReHo_17Networks_LH_DefaultA_pCunPCC_5gmd_17Networks_LH_DefaultA_pCunPCC_5zfALFF_17Networks_LH_DefaultA_pCunPCC_5zALFF_17Networks_LH_DefaultA_pCunPCC_5zDCwei_17Networks_LH_DefaultA_pCunPCC_5zDCbin_17Networks_LH_DefaultA_pCunPCC_5,-0.380122209274716,,0.232795830325548,-0.111161505174326,,0.476023897752012,-0.066531530368668,,0.80480272064722,-0.02309265248112,,,0.744772808305496,-0.030415733582582,,0.662630621389358,-0.040755288243221
296,,0.842130465692727,-0.01861142033212,17Networks_LH_DefaultA_pCunPCC_4,zReHo_17Networks_LH_DefaultA_pCunPCC_4gmd_17Networks_LH_DefaultA_pCunPCC_4zfALFF_17Networks_LH_DefaultA_pCunPCC_4zALFF_17Networks_LH_DefaultA_pCunPCC_4zDCwei_17Networks_LH_DefaultA_pCunPCC_4zDCbin_17Networks_LH_DefaultA_pCunPCC_4,-0.175441169255247,,0.661663853943412,-0.040879708943298,,0.957927851484237,-0.004930018821228,,0.903394521831291,0.01134248391596,,,0.348631505240689,-0.08742109229347,,0.708400219528589,-0.034941412781091
297,,0.643222517602248,-0.043267142254421,17Networks_LH_DefaultA_pCunPCC_3,zReHo_17Networks_LH_DefaultA_pCunPCC_3gmd_17Networks_LH_DefaultA_pCunPCC_3zfALFF_17Networks_LH_DefaultA_pCunPCC_3zALFF_17Networks_LH_DefaultA_pCunPCC_3zDCwei_17Networks_LH_DefaultA_pCunPCC_3zDCbin_17Networks_LH_DefaultA_pCunPCC_3,-0.279126137253753,,0.847278831011991,0.017996883749213,,0.45349587979079,-0.069966727886563,,0.794516315243183,-0.024336379430261,,,0.414844947927735,-0.07609109466273,,0.370976618979026,-0.083461676768991
298,,0.782537857285891,-0.02579009220921,17Networks_LH_DefaultA_pCunPCC_2,zReHo_17Networks_LH_DefaultA_pCunPCC_2gmd_17Networks_LH_DefaultA_pCunPCC_2zfALFF_17Networks_LH_DefaultA_pCunPCC_2zALFF_17Networks_LH_DefaultA_pCunPCC_2zDCwei_17Networks_LH_DefaultA_pCunPCC_2zDCbin_17Networks_LH_DefaultA_pCunPCC_2,-0.193965976619136,,0.872503419964479,-0.014996507738119,,0.562276136542662,-0.054113184258655,,0.596473940847971,-0.049451228733061,,,0.810791138085457,0.022370463838831,,0.440539322640294,-0.071985427518922
299,,0.851714319946081,-0.017468056266019,17Networks_LH_DefaultA_pCunPCC_1,zReHo_17Networks_LH_DefaultA_pCunPCC_1gmd_17Networks_LH_DefaultA_pCunPCC_1zfALFF_17Networks_LH_DefaultA_pCunPCC_1zALFF_17Networks_LH_DefaultA_pCunPCC_1zDCwei_17Networks_LH_DefaultA_pCunPCC_1zDCbin_17Networks_LH_DefaultA_pCunPCC_1,-0.236977810755283,0.049179098733603,0.029547079693537,-0.201278729244987,,0.665514851472709,0.040384517509047,,0.436352850735627,0.07264484344631,,,0.786224180025332,-0.025342077254472,,0.255713335875964,-0.105918308945162
