parc_name,parcel_name,zALFF_sws_rs_r,zDCbin_sws_rs_r,zDCwei_sws_rs_r,zfALFF_sws_rs_r,zReHo_sws_rs_r,gmd_sws_rs_r,sws_rs
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,-0.079339964291461,0.086157187074504,0.086609203021395,0.174143134884417,0.16722595781427,-0.110311978737895,0.32448353976523
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,-0.053674802842886,0.066786125595546,0.081597123580116,0.164890438831155,0.142581609423338,-0.054759656313732,0.347420838273537
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,-0.164522431081356,0.076160789372476,0.11695399572016,0.215211703137779,0.245076275616286,-0.085272420479285,0.40360791228606
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,-0.305803042530275,-0.07920162585755,-0.069703677594918,0.047600556813239,0.087123582628149,0.092000767025961,-0.227983439515394
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.142042868354993,0.083734932566702,0.11452047232305,-0.033628283941997,0.09719235911284,0.155791696358987,0.559654044774575
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.054311814266516,0.207663331107642,0.228094555508457,0.154108822920109,0.238201477659937,-0.0132648321987,0.869115169263961
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.1627446896202,0.075396038757787,0.067342840138669,0.016647776967731,0.024986560230145,-0.14649314936189,0.200624756352642
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.175580714419516,0.10652565799442,0.10759151353053,0.108827745105603,0.142414250718162,0.031427159542411,0.672367041310642
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.182113851307412,0.097178031195724,0.092506469038369,0.10220201806095,0.078876648543741,-0.095806513966723,0.457070504179473
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.115699975330963,0.087116731015569,0.088779057995189,0.16641587087021,0.200887411160377,-0.000899612939478,0.65799943343283
