parc_name,parcel_name,zALFF_sws_fa_p,zDCbin_sws_fa_p,zDCwei_sws_fa_p,zfALFF_sws_fa_p,zReHo_sws_fa_p,gmd_sws_fa_p,sws_fa
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.819615677305055,0.207793775587708,0.201130597746125,0.025727146982643,0.347788517138952,0.98926469606084,2.59132041082132
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.97662092427016,0.622300155203319,0.617561821380688,0.044921326179319,0.294545301983339,0.324799586265525,2.88074911528235
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.674226973154555,0.735418134908721,0.656213378151874,0.099104610719237,0.446841656455545,0.067262421634226,2.67906717502416
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.685312763116558,0.585601056064265,0.531392495054049,0.038737665480277,0.188909352149613,0.303826858404481,2.33378019026924
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.729442604768558,0.675558352444213,0.637094492008811,0.590090025715129,0.245398187390418,0.672912490119139,3.55049615244627
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.985638765839109,0.157284806503003,0.136737735344288,0.117128730602344,0.124467806422662,0.995538029631715,2.51679587434312
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.847135134487026,0.526482103840368,0.533009962576503,0.395750212944021,0.187757956233956,0.387696792985392,2.87783216306727
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.854747520745187,0.36688480743985,0.404468259637728,0.114960708048542,0.287785453915769,0.948194863921531,2.97704161370861
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,0.058214288790982,0.275192822021878,0.332085000684821,0.200203971197708,0.696658149486536,0.117520551142971,1.6798747833249
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.886847632426054,0.088018834555483,0.046194544147193,0.145893340822832,0.138813713893016,0.29446551061984,1.60023357646442
