parc_name,parcel_name,zALFF_sws_rw_r,zDCbin_sws_rw_r,zDCwei_sws_rw_r,zfALFF_sws_rw_r,zReHo_sws_rw_r,gmd_sws_rw_r,sws_rw
17Networks_RH_DefaultB_PFCd_2,zReHo_17Networks_RH_DefaultB_PFCd_2gmd_17Networks_RH_DefaultB_PFCd_2zfALFF_17Networks_RH_DefaultB_PFCd_2zALFF_17Networks_RH_DefaultB_PFCd_2zDCwei_17Networks_RH_DefaultB_PFCd_2zDCbin_17Networks_RH_DefaultB_PFCd_2,0.084743954691436,0.057498887244504,0.103215109098385,0.028694306253166,0.132036112601271,-0.028819647335334,0.377368722553428
17Networks_RH_DefaultB_PFCd_1,zReHo_17Networks_RH_DefaultB_PFCd_1gmd_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1,0.015342060730981,0.075909051239194,0.100416718552337,-0.095169688689543,0.114792463563692,0.034396647456861,0.245687252853522
17Networks_RH_DefaultB_AntTemp_1,zReHo_17Networks_RH_DefaultB_AntTemp_1gmd_17Networks_RH_DefaultB_AntTemp_1zfALFF_17Networks_RH_DefaultB_AntTemp_1zALFF_17Networks_RH_DefaultB_AntTemp_1zDCwei_17Networks_RH_DefaultB_AntTemp_1zDCbin_17Networks_RH_DefaultB_AntTemp_1,0.050090609141278,0.171867005655168,0.188872437840966,-0.015281167817371,-0.018339821280411,-0.222959704893253,0.154249358646377
17Networks_RH_DefaultB_Temp_2,zReHo_17Networks_RH_DefaultB_Temp_2gmd_17Networks_RH_DefaultB_Temp_2zfALFF_17Networks_RH_DefaultB_Temp_2zALFF_17Networks_RH_DefaultB_Temp_2zDCwei_17Networks_RH_DefaultB_Temp_2zDCbin_17Networks_RH_DefaultB_Temp_2,0.033147168870715,-0.059661529015187,-0.064953191214194,-0.163274493311536,0.035331489907606,-0.044335739930355,-0.263746294692951
17Networks_RH_DefaultB_Temp_1,zReHo_17Networks_RH_DefaultB_Temp_1gmd_17Networks_RH_DefaultB_Temp_1zfALFF_17Networks_RH_DefaultB_Temp_1zALFF_17Networks_RH_DefaultB_Temp_1zDCwei_17Networks_RH_DefaultB_Temp_1zDCbin_17Networks_RH_DefaultB_Temp_1,0.113859282074702,0.063844773580055,0.070893971626973,-0.160414894402786,0.044170988897232,-0.094113668641475,0.038240453134701
17Networks_RH_DefaultA_PFCm_6,zReHo_17Networks_RH_DefaultA_PFCm_6gmd_17Networks_RH_DefaultA_PFCm_6zfALFF_17Networks_RH_DefaultA_PFCm_6zALFF_17Networks_RH_DefaultA_PFCm_6zDCwei_17Networks_RH_DefaultA_PFCm_6zDCbin_17Networks_RH_DefaultA_PFCm_6,0.0231978388408,0.0398049033045,0.046756744796728,0.022183758581527,-0.048321175481901,-0.098612466450552,-0.014990396408898
17Networks_RH_DefaultA_PFCm_5,zReHo_17Networks_RH_DefaultA_PFCm_5gmd_17Networks_RH_DefaultA_PFCm_5zfALFF_17Networks_RH_DefaultA_PFCm_5zALFF_17Networks_RH_DefaultA_PFCm_5zDCwei_17Networks_RH_DefaultA_PFCm_5zDCbin_17Networks_RH_DefaultA_PFCm_5,-0.038173007278153,0.089201333212977,0.116830234207273,-0.12320326885197,0.041932100895257,-0.246130499178018,-0.159543106992634
17Networks_RH_DefaultA_PFCm_4,zReHo_17Networks_RH_DefaultA_PFCm_4gmd_17Networks_RH_DefaultA_PFCm_4zfALFF_17Networks_RH_DefaultA_PFCm_4zALFF_17Networks_RH_DefaultA_PFCm_4zDCwei_17Networks_RH_DefaultA_PFCm_4zDCbin_17Networks_RH_DefaultA_PFCm_4,-0.056920436009816,0.054412840853831,0.060579249232691,-0.120447059809766,0.110694576624236,-0.136083772450846,-0.08776460155967
17Networks_RH_DefaultA_PFCm_3,zReHo_17Networks_RH_DefaultA_PFCm_3gmd_17Networks_RH_DefaultA_PFCm_3zfALFF_17Networks_RH_DefaultA_PFCm_3zALFF_17Networks_RH_DefaultA_PFCm_3zDCwei_17Networks_RH_DefaultA_PFCm_3zDCbin_17Networks_RH_DefaultA_PFCm_3,0.013779272829225,0.08309733058716,0.086549436459719,-0.048337352185269,-0.065614902236401,-0.199195691947858,-0.129721906493424
17Networks_RH_DefaultA_PFCm_2,zReHo_17Networks_RH_DefaultA_PFCm_2gmd_17Networks_RH_DefaultA_PFCm_2zfALFF_17Networks_RH_DefaultA_PFCm_2zALFF_17Networks_RH_DefaultA_PFCm_2zDCwei_17Networks_RH_DefaultA_PFCm_2zDCbin_17Networks_RH_DefaultA_PFCm_2,0.158748744831722,0.050468555179099,0.092642172726217,-0.037139634791423,-0.050523109417677,-0.139198121292485,0.074998607235453
17Networks_RH_DefaultA_PFCm_1,zReHo_17Networks_RH_DefaultA_PFCm_1gmd_17Networks_RH_DefaultA_PFCm_1zfALFF_17Networks_RH_DefaultA_PFCm_1zALFF_17Networks_RH_DefaultA_PFCm_1zDCwei_17Networks_RH_DefaultA_PFCm_1zDCbin_17Networks_RH_DefaultA_PFCm_1,0.042844099330016,0.207126353730462,0.218275723339621,0.028115590774051,0.084945082196212,-0.21623924440707,0.365067604963292
17Networks_RH_DefaultA_pCunPCC_5,zReHo_17Networks_RH_DefaultA_pCunPCC_5gmd_17Networks_RH_DefaultA_pCunPCC_5zfALFF_17Networks_RH_DefaultA_pCunPCC_5zALFF_17Networks_RH_DefaultA_pCunPCC_5zDCwei_17Networks_RH_DefaultA_pCunPCC_5zDCbin_17Networks_RH_DefaultA_pCunPCC_5,0.131134877592811,-0.012674886134615,-0.004222921518992,-0.025713174992106,0.067720965307736,0.018778120354047,0.175022980608881
17Networks_RH_DefaultA_pCunPCC_4,zReHo_17Networks_RH_DefaultA_pCunPCC_4gmd_17Networks_RH_DefaultA_pCunPCC_4zfALFF_17Networks_RH_DefaultA_pCunPCC_4zALFF_17Networks_RH_DefaultA_pCunPCC_4zDCwei_17Networks_RH_DefaultA_pCunPCC_4zDCbin_17Networks_RH_DefaultA_pCunPCC_4,-0.098461742969562,0.060563432828529,0.068700508232303,-0.119350994531429,-0.109088089460471,0.012391889172206,-0.185244996728424
17Networks_RH_DefaultA_pCunPCC_3,zReHo_17Networks_RH_DefaultA_pCunPCC_3gmd_17Networks_RH_DefaultA_pCunPCC_3zfALFF_17Networks_RH_DefaultA_pCunPCC_3zALFF_17Networks_RH_DefaultA_pCunPCC_3zDCwei_17Networks_RH_DefaultA_pCunPCC_3zDCbin_17Networks_RH_DefaultA_pCunPCC_3,0.048337623030095,0.013308599492087,0.003984670691526,0.020475315592483,-0.16451785705019,0.070626864787335,-0.007784783456664
17Networks_RH_DefaultA_pCunPCC_2,zReHo_17Networks_RH_DefaultA_pCunPCC_2gmd_17Networks_RH_DefaultA_pCunPCC_2zfALFF_17Networks_RH_DefaultA_pCunPCC_2zALFF_17Networks_RH_DefaultA_pCunPCC_2zDCwei_17Networks_RH_DefaultA_pCunPCC_2zDCbin_17Networks_RH_DefaultA_pCunPCC_2,0.136411578176777,0.01136531745348,0.017987278909022,-0.01511202623392,-0.101713773200999,-0.020457880641997,0.028480494462363
17Networks_RH_DefaultA_pCunPCC_1,zReHo_17Networks_RH_DefaultA_pCunPCC_1gmd_17Networks_RH_DefaultA_pCunPCC_1zfALFF_17Networks_RH_DefaultA_pCunPCC_1zALFF_17Networks_RH_DefaultA_pCunPCC_1zDCwei_17Networks_RH_DefaultA_pCunPCC_1zDCbin_17Networks_RH_DefaultA_pCunPCC_1,0.090469433087673,0.058866515692981,0.079930132240518,-0.10626746087683,0.037619754346465,0.009617738669397,0.170236113160204
17Networks_RH_DefaultA_PFCd_2,zReHo_17Networks_RH_DefaultA_PFCd_2gmd_17Networks_RH_DefaultA_PFCd_2zfALFF_17Networks_RH_DefaultA_PFCd_2zALFF_17Networks_RH_DefaultA_PFCd_2zDCwei_17Networks_RH_DefaultA_PFCd_2zDCbin_17Networks_RH_DefaultA_PFCd_2,0.008319978336778,-0.032789279240947,-0.033660875830321,-0.059222054992363,-0.045445555350041,-0.16794355217325,-0.330741339250144
17Networks_RH_DefaultA_PFCd_1,zReHo_17Networks_RH_DefaultA_PFCd_1gmd_17Networks_RH_DefaultA_PFCd_1zfALFF_17Networks_RH_DefaultA_PFCd_1zALFF_17Networks_RH_DefaultA_PFCd_1zDCwei_17Networks_RH_DefaultA_PFCd_1zDCbin_17Networks_RH_DefaultA_PFCd_1,0.03263907802755,0.057553396984491,0.085321825410271,-0.142675521628104,-0.111752718586459,-0.109305691052629,-0.18821963084488
17Networks_RH_DefaultA_IPL_2,zReHo_17Networks_RH_DefaultA_IPL_2gmd_17Networks_RH_DefaultA_IPL_2zfALFF_17Networks_RH_DefaultA_IPL_2zALFF_17Networks_RH_DefaultA_IPL_2zDCwei_17Networks_RH_DefaultA_IPL_2zDCbin_17Networks_RH_DefaultA_IPL_2,0.021512307056491,-0.099061110378734,-0.083383748126758,-0.087944374328868,-0.160973572563577,0.049026544732953,-0.360823953608493
17Networks_RH_DefaultA_IPL_1,zReHo_17Networks_RH_DefaultA_IPL_1gmd_17Networks_RH_DefaultA_IPL_1zfALFF_17Networks_RH_DefaultA_IPL_1zALFF_17Networks_RH_DefaultA_IPL_1zDCwei_17Networks_RH_DefaultA_IPL_1zDCbin_17Networks_RH_DefaultA_IPL_1,0.029462654140066,-0.129320323909474,-0.116309234110881,-0.146524049139638,-0.221245294246546,0.003037009763295,-0.580899237503178
17Networks_RH_DefaultA_Temp_1,zReHo_17Networks_RH_DefaultA_Temp_1gmd_17Networks_RH_DefaultA_Temp_1zfALFF_17Networks_RH_DefaultA_Temp_1zALFF_17Networks_RH_DefaultA_Temp_1zDCwei_17Networks_RH_DefaultA_Temp_1zDCbin_17Networks_RH_DefaultA_Temp_1,-0.038953519285259,0.013379705008718,0.01369286976234,-0.05225057486102,-0.178589365828971,-0.181380071045734,-0.424100956249926
17Networks_RH_ContC_Cingp_2,zReHo_17Networks_RH_ContC_Cingp_2gmd_17Networks_RH_ContC_Cingp_2zfALFF_17Networks_RH_ContC_Cingp_2zALFF_17Networks_RH_ContC_Cingp_2zDCwei_17Networks_RH_ContC_Cingp_2zDCbin_17Networks_RH_ContC_Cingp_2,-0.036266340225074,-0.078343707178689,-0.063996081072153,-0.069954285246914,-0.125352020303922,0.031038534046286,-0.342873899980466
17Networks_RH_ContC_Cingp_1,zReHo_17Networks_RH_ContC_Cingp_1gmd_17Networks_RH_ContC_Cingp_1zfALFF_17Networks_RH_ContC_Cingp_1zALFF_17Networks_RH_ContC_Cingp_1zDCwei_17Networks_RH_ContC_Cingp_1zDCbin_17Networks_RH_ContC_Cingp_1,-0.003501482625355,-0.082667053729664,-0.078273931990409,-0.145803780878424,0.109290996515334,0.117592830359315,-0.083362422349203
