region,sws_total
gmd_dlPu_L,-0.200972278133
gmd_17Networks_RH_DefaultB_PFCd_2,0.197123855381612
gmd_17Networks_RH_SomMotA_11,0.230946139102816
gmd_17Networks_RH_SomMotA_10,-0.192977622337627
gmd_17Networks_RH_SomMotA_7,-0.18878314883919
gmd_17Networks_RH_SomMotA_4,-0.19633343134396
gmd_17Networks_RH_VisPeri_ExStrSup_3,-0.192974275178771
gmd_17Networks_RH_VisCent_ExStr_9,0.204306817038891
gmd_17Networks_RH_VisCent_ExStr_8,0.235011552807537
gmd_17Networks_LH_DefaultB_PFCv_4,0.193919577722608
gmd_17Networks_LH_LimbicB_OFC_1,0.199169608385402
gmd_17Networks_LH_DorsAttnB_PostC_6,0.200752382220077
gmd_17Networks_LH_SomMotA_11,0.257664889104328
zReHo_17Networks_15,0.191232955424475
zReHo_cHipp_L,0.210774263367062
zReHo_mAmyg_L,0.228672265938002
zReHo_17Networks_RH_DefaultA_PFCm_5,0.195955904474778
zReHo_17Networks_RH_DefaultA_IPL_2,-0.211221536709248
zReHo_17Networks_RH_SalVentAttnA_FrOper_2,-0.209635586660749
zReHo_17Networks_RH_SalVentAttnA_Ins_3,-0.19576202805098
zReHo_17Networks_RH_DorsAttnB_FEF_3,-0.199770577405073
zReHo_17Networks_RH_DorsAttnA_TempOcc_3,-0.23632488373713
zReHo_17Networks_RH_SomMotB_S2_1,-0.194009640091964
zReHo_17Networks_RH_SomMotA_17,0.192861031122061
zReHo_17Networks_RH_SomMotA_9,0.241890773974263
zReHo_17Networks_RH_VisCent_ExStr_6,-0.208773608802589
zReHo_17Networks_LH_ContA_IPS_2,0.203951063971756
zReHo_17Networks_LH_SomMotA_12,0.197488596566693
zReHo_17Networks_LH_SomMotA_9,0.194030557752074
zReHo_17Networks_LH_SomMotA_8,0.191953877581701
zReHo_17Networks_LH_SomMotA_5,0.314827808250147
zDCwei_17Networks_9,0.191635990685374
zDCwei_lPFtha_L,0.218698847867
zDCwei_mPMtha_L,0.224121393680991
zDCwei_dlPu_L,0.203922829538993
zDCwei_17Networks_RH_TempPar_5,-0.183177732574777
zDCwei_17Networks_RH_TempPar_4,-0.284176940226614
zDCwei_17Networks_RH_ContA_PFCl_5,-0.224165985823285
zDCwei_17Networks_RH_SalVentAttnA_FrMed_4,-0.204025529713717
zDCwei_17Networks_RH_SalVentAttnA_ParMed_4,-0.191214303051856
zDCwei_17Networks_RH_SalVentAttnA_ParMed_2,-0.240820670679002
zDCwei_17Networks_RH_SalVentAttnA_FrMed_1,-0.203949678982534
zDCwei_17Networks_RH_SalVentAttnA_ParOper_1,-0.295463010495556
zDCwei_17Networks_RH_DorsAttnB_PostC_8,-0.210072951059953
zDCwei_17Networks_RH_DorsAttnA_TempOcc_1,-0.232997793152215
zDCwei_17Networks_RH_SomMotB_S2_6,-0.198987196951622
zDCwei_17Networks_RH_SomMotB_S2_3,-0.20349804570697
zDCwei_17Networks_RH_SomMotA_7,-0.184127582318147
zDCwei_17Networks_RH_SomMotA_6,-0.216580266325196
zDCwei_17Networks_LH_DefaultC_PHC_3,-0.204419298946277
zDCwei_17Networks_LH_DefaultB_Temp_5,-0.18348592044813
zDCwei_17Networks_LH_ContB_Temp_2,-0.203437650864578
zDCwei_17Networks_LH_SalVentAttnA_FrMed_2,-0.197818884220215
zDCwei_17Networks_LH_SalVentAttnA_FrMed_1,-0.258578381690194
zDCwei_17Networks_LH_SalVentAttnA_ParMed_1,-0.203534765014881
zDCwei_17Networks_LH_SalVentAttnA_ParOper_1,-0.184510376707105
zDCwei_17Networks_LH_DorsAttnB_PostC_1,-0.219417434174858
zDCwei_17Networks_LH_DorsAttnA_TempOcc_2,-0.190193689862396
