bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5180_ses-wave1_task-rest_bold	0.00501388	0.0351585544	0	35.319488992851404	1.134902765381526	0.9966885120080322	0.3738780762235867	19653.1796875	0.26596942204490187	95	38.0	2.54484968657145	2.3121891245864616	2.890991935127888	2.431368	0.0215922	-0.01713767647743225	0.0051898411475121975	250	104	104	60	6.038275387929575	1.5	2.451923131942749	2.451923131942749	2.5	65.6954556674589	2.6390319065223817	10.57511043548584	3.9720001220703125	491013.0	1.496000051498413	37.8936012268065	25.826234817504883	5.506793434061317	64.80747125504678	552.3927612304688	563.1480102539062	82419.0	389.9404296875	674.2360229492188	93.26248931884766	34.80440971534699
sub-5180_ses-wave2_task-rest_bold	0.009891639999999998	0.060717138	0	48.8377526529317	1.0333069937751005	0.9729155629317267	0.37927813087089707	16754.693359375	0.5725014429228629	180	72.0	2.618229606890863	2.371489515412659	2.9987033052599297	2.484496	0.0476794	-0.017932403832674026	0.005271324422210455	250	104	104	60	6.0289368956838	1.5	2.451923131942749	2.451923131942749	2.5	64.42508300467492	2.7398486198422605	10.375574111938477	3.9080002307891846	489809.0	1.380000114440918	36.82640228271475	25.0501651763916	6.054674252926734	56.49308072535237	496.5948791503906	506.76202392578125	83264.0	350.48081512451176	604.5480346679688	84.05445098876953	23.78648466640152
sub-5180_ses-wave3_task-rest_bold	0.00077952	0.0179740852	0	29.476633898955825	1.2732508677108432	0.9858073191566262	0.3827492338692561	16262.5458984375	0.07702625877070515	10	4.0	2.524261608385985	2.335660496608798	2.834644328549157	2.4024799999999997	0.00827746	-0.019996626302599907	0.0037209447473287582	250	104	104	60	5.885263180924895	1.5	2.451923131942749	2.451923131942749	2.5	51.025445194641314	29.3673855811994	136.19337463378906	47.73200225830078	489265.0	21.400001525878906	530.1432128906247	334.37841796875	6.072305032420546	709.5855113554184	6102.98681640625	6230.6005859375	83608.0	4208.610937500001	7416.367163085937	1058.6719970703125	55.65373109187931
sub-5270_ses-wave2_task-rest_bold	0.0032190400000000003	0.023365352	0	30.38705599819278	1.1509691502409645	1.0053019030522088	0.39531592972016794	17676.228515625	0.18026520854533903	72	28.8	2.4744276221478616	2.2811196350875638	2.796939231356021	2.345224	0.00709359	-0.01569262333214283	0.0051904176361858845	250	104	104	60	6.094267410109792	1.5	2.451923131942749	2.451923131942749	2.5	57.63050726866042	2.8940393863031297	12.097710609436035	4.308000087738037	479021.0	1.7160000801086426	39.71600341796875	31.45459747314453	5.470679994412137	70.80909643436485	569.5076904296875	578.6940307617188	92146.0	417.8730163574219	696.3260040283203	94.95659637451172	42.44300364609808
sub-5270_ses-wave3_task-rest_bold	0.011236799999999998	0.0203472644	0	41.520877776947806	1.5923438643373498	1.1612437537751004	0.3954967278930827	19702.72265625	0.1766991567786785	60	24.0	2.4304844597672406	2.2487572828725786	2.6931920964291423	2.349504	0.0134787	-0.013563104905188084	0.00499841058626771	250	104	104	60	6.029204601745452	1.5	2.451923131942749	2.451923131942749	2.5	55.60589934762161	30.126476627579542	144.74368286132812	49.624000549316406	477678.0	23.82400131225586	511.2790298461907	393.2543640136719	5.476331222056189	893.7452664167661	7032.84716796875	7128.33837890625	93334.0	5195.014306640625	8675.672607421875	1182.2952880859375	48.52157797059044
sub-5286_ses-wave1_task-rest_bold	0.02005828	0.293234988	0	158.59958136943774	1.1191623725702822	1.139713565863455	0.3982364180423717	11827.8896484375	3.6183163329013537	239	95.6	2.8977394594059382	2.6318769605501147	3.2321894176677013	2.8291519999999997	0.0721697	-0.011902857571840286	0.012599548324942589	250	104	104	60	6.409740801765476	1.5	2.451923131942749	2.451923131942749	2.5	58.28605930220413	3.8784880172517857	9.887528419494629	4.724000453948975	479526.0	1.468000054359436	31.864002227783203	16.603605270385742	5.983587320858	53.302508806335055	499.0752258300781	510.05804443359375	92938.0	355.0208145141602	597.5280151367188	79.57502746582031	7.930338726873742
sub-5363_ses-wave1_task-rest_bold	0.0018998	0.0279644852	0	33.42514687654619	1.1767691977510037	1.0004634184337349	0.3910149078541794	23563.833984375	0.1746348446568449	70	28.0	2.5229381313327583	2.3091914775949034	2.8516269164033723	2.407996	0.0221168	-0.013336313888430595	0.009116415865719318	250	104	104	60	5.954242112085649	1.5	2.451923131942749	2.451923131942749	2.5	69.27557726324679	2.50856282363087	9.877371788024902	3.504000186920166	479058.0	1.252000093460083	35.87600326538086	24.36176109313965	5.8549977600407175	62.65179803426795	536.7340698242188	547.8179931640625	92506.0	374.9700241088867	653.9650268554688	92.00415802001953	39.393056251108646
sub-5363_ses-wave2_task-rest_bold	0.0058407599999999995	0.0452801684	0	46.82958949132529	1.110106984738956	1.0169264443775103	0.40159997964253774	9964.470703125	0.388847869541237	139	55.6	2.560609163377304	2.3675293586387776	2.878210131493135	2.4360880000000003	0.0288856	-0.015136849135160446	0.01956349052488804	250	104	104	60	5.6192363299884915	1.5	2.451923131942749	2.451923131942749	2.5	68.79808533360493	4.121634478507898	12.143782615661621	5.26800012588501	479637.0	1.7040001153945923	40.544802093505666	24.628929138183594	5.1920361310242225	64.4546473994588	515.793212890625	527.0380249023438	92258.0	348.08200683593753	634.6206512451172	93.79124450683594	27.037222298793495
sub-5363_ses-wave3_task-rest_bold	0.008991240000000001	0.0343393112	0	45.401137447871484	1.304355462891565	1.0252993067068266	0.41338501325238336	11797.7734375	0.3246117372000064	108	43.2	2.533510653903029	2.356513515748712	2.8451544459603753	2.398864	0.0441407	-0.019634511321783066	0.006372685544192791	250	104	104	60	5.583624764256809	1.5	2.451923131942749	2.451923131942749	2.5	45.11071171877069	36.57283609588452	155.99351501464844	53.5160026550293	474601.0	22.404001235961914	653.1640014648438	360.575927734375	5.685969655016983	720.4259541879438	5805.255859375	5937.0244140625	96053.0	3863.442578125	7115.091503906249	1063.28662109375	33.682440459844656
sub-5384_ses-wave2_task-rest_bold	0.0194766	0.10365650879999998	0	79.64162013016063	1.1289204470682732	1.1065008787951809	0.41080021532538114	3556.5078125	0.8478196403992455	189	75.6	2.80838730348619	2.5954973535233137	3.142496556935257	2.6871680000000002	0.0724689	-0.022135989740490913	0.04657495766878128	250	104	104	60	5.166980664704245	1.5	2.451923131942749	2.451923131942749	2.5	43.400734771887564	5.995643945688035	14.565352439880371	7.532000541687012	488998.0	2.2120001316070557	48.496602439880235	21.631135940551758	4.88124077139677	57.99346439746737	438.3229064941406	451.66802978515625	84324.0	270.2926223754883	544.1114044189453	87.41378784179688	14.449711885303259
